都道府県,店名,場所
"東京都","タイトーステーション上野御徒町店","東京都台東区上野４−６−９湯島商事ビル"
"東京都","アピナ荻窪店","東京都杉並区上荻１−１３−１０ハクサンビル"
"東京都","ゲームサファリ池袋","東京都豊島区東池袋1-42-3 2F"
"東京都","ゲームサファリ大山","東京都板橋区大山東町60-10やすだ大山駅前店2F"
"東京都","ドットコム葛西","東京都江戸川区中葛西３−３５−５"
"東京都","ＧｉＧＯ秋葉原１号館","東京都千代田区外神田１−１０ー９"
"東京都","ＧｉＧＯ渋谷宮益坂","東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階"
"東京都","ＧｉＧＯ新宿西口","東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ"
"東京都","新宿スポーツランド本館","東京都新宿区新宿3-22-12"
"東京都","ＧｉＧＯ大森","東京都大田区山王２−１−５大森駅ララビル２Ｆ"
"東京都","ＧｉＧＯ秋葉原３号館１","東京都千代田区外神田１−１１−１１外神田１丁目ビルディング"
"東京都","ＧｉＧＯ町田","東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１"
"東京都","ＧｉＧＯ赤羽駅前","東京都北区赤羽１−２−４"
"東京都","ゲームプラザセントラル八王子店","東京都八王子市東町12-15第5セントラル"
"東京都","ドラマ八王子高倉店","東京都八王子市高倉町55-4"
"東京都","ドラマ瑞穂店","東京都西多摩郡瑞穂町武蔵382-1"
"東京都","東京レジャーランド亀有店","東京都葛飾区亀有3-21-2"
"東京都","タイトーＦステーションオリナス錦糸町店","東京都墨田区太平4-1-2オリナスモール地下1F"
"東京都","ゲームパニック新宿歌舞伎町","東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階"
"東京都","ラウンドワン南砂店","東京都江東区南砂６−７−１５トピレックプラザ４Ｆ"
"東京都","ラウンドワン町田店","東京都町田市森野１−１３−１４"
"東京都","ラウンドワン板橋店","東京都板橋区相生町１６−１３"
"東京都","ラウンドワン府中本町駅前","東京都府中市本町１−１３−３カネタビル"
"東京都","ラウンドワン吉祥寺店","東京都武蔵野市吉祥寺本町1-11-22"
"東京都","ＣＬＵＢ　ＥＸＡ","東京都立川市羽衣町２丁目７－３小川ビル１階"
"東京都","ＧｉＧＯ立川","東京都立川市柴崎町３−２−１サザンビル１・２Ｆ"
"神奈川県","イミグランデ日吉店","神奈川県横浜市港北区日吉２−２−４"
"神奈川県","イミグランデ溝口店","神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル"
"神奈川県","シルクハット川崎モアーズ","神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階"
"神奈川県","シルクハット　伊勢佐木町","神奈川県横浜市中区伊勢佐木町３—９６日活会館３階"
"神奈川県","シルクハット　横須賀中央","神奈川県横須賀市若松町１−５プライムビル２階"
"神奈川県","シルクハット　川崎ダイス","神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階"
"神奈川県","シルクハット　大船","神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ"
"神奈川県","タイトーステーション溝の口","神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階"
"神奈川県","タイトーステーション 戸塚西口店","神奈川県横浜市戸塚区戸塚町４０２３"
"神奈川県","タイトーステーション 横浜西口五番街店","神奈川県横浜市西区南幸１−１２ー９"
"神奈川県","アピナ橋本店","神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階"
"神奈川県","ＧｉＧＯ綱島","神奈川県横浜市港北区綱島西２−６−２９"
"神奈川県","タイトーFステーション向ヶ丘遊園店","神奈川県川崎市多摩区登戸2718-1"
"神奈川県","ドラマ藤沢店","神奈川県藤沢市本藤沢5-6-8"
"神奈川県","ドラマ港北インター店","神奈川県横浜市都筑区東方町321-6"
"神奈川県","ラウンドワン横浜駅西口店","神奈川県横浜市西区南幸２−８−１６"
"新潟県","カプコサーカス新潟東店","新潟県新潟市東区大形本町３−１−２　ジャスコシティ新潟東"
"新潟県","メジャーロード24","新潟県見附市今町4-20-568-1"
"新潟県","ゲームセンターテクノポリス","新潟県長岡市要町1-8-50"
"新潟県","タイトーＦステーション上越店","新潟県上越市富岡3524 J-MAXシアター内1F"
"新潟県","ラウンドワン新潟店","新潟県新潟市中央区美咲町２−１−３８"
"富山県","アピナ富山豊田店","富山県富山市豊田町２丁目１２−６６"
"富山県","アピナ富山南店","富山県富山市堀川町３５５−３　マイプラザ内"
"富山県","ゲームスポットアップル","富山県魚津市吉島二丁目４０７−１"
"富山県","トヤマレジャーランド呉羽店","富山県富山市高木字貝塚2054"
"石川県","バイパスレジャーランド藤江本館","石川県金沢市藤江南2-41"
"石川県","バイパスレジャーランド加賀店","石川県加賀市箱宮町ヲ1-1"
"石川県","ラウンドワン金沢店","石川県金沢市横川6-120-1"
"福井県","福井レジャーランド板垣店","福井県福井市下馬３−１０２"
"山梨県","プラサカプコン甲府店","山梨県中巨摩郡昭和町西条字北河原３７１７"
"山梨県","ゲームパニック甲府","山梨県甲府市国母5-20-24"
"長野県","ラウンドワン長野店","長野県長野市大字東和田８２７番地６"
"岐阜県","ゲームハウスアリババ","岐阜県大垣市池尻町９４０−１"
"岐阜県","ゲームゾーン各務原店","岐阜県各務原市鵜沼各務原町５−２８６ ペタルビル１Ｆ"
"岐阜県","Ａ．Ｃ．グランド","岐阜県岐阜市茜部大川1-77"
"岐阜県","岐阜レジャーランド穂積店","岐阜県瑞穂市稲里630番地"
"静岡県","アップル新北街道店","静岡県静岡市葵区沓谷5-13-4"
"静岡県","アップル島田店","静岡県島田市宝来町8-5"
"静岡県","ACT御殿場店","静岡県御殿場市東山字石橋296-1"
"静岡県","アピナ浜松店","静岡県浜松市中区葵西２−２７−１０"
"静岡県","ジョイランドアミューズ諏訪店","静岡県沼津市大諏訪２０−２"
"静岡県","タイトーＦステーション静岡","静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル"
"静岡県","THE 3RD PLANET OZ浜松店","静岡県浜松市東区宮竹町322-1"
"静岡県","THE 3RD PLANET BiVi沼津店","静岡県沼津市大手町1-1-5"
"静岡県","ラウンドワン富士店","静岡県富士市八代町４−１５"
"静岡県","ラウンドワン浜松店","静岡県浜松市東区天王町諏訪１９８１−１７"
"愛知県","M\"s PARK豊田店","愛知県豊田市寿町３−２１、２２"
"愛知県","M\"s PARK刈谷店","愛知県刈谷市稲場町３−２０６"
"愛知県","ＡＤＸマミー岡崎店","愛知県岡崎市井田新町６−１"
"愛知県","コムテックタワー","愛知県名古屋市中村区名駅４−１０−２０"
"愛知県","コムテックスクウェア","愛知県名古屋市中区金山1-16-8"
"愛知県","コムテックプラザ赤池","愛知県日進市赤池１−２９０１"
"愛知県","ＡＤＸマミー春日井Ｒ１５５出川店","愛知県春日井市不二ヶ丘１丁目５番地"
"愛知県","半田メトロポリス","愛知県半田市旭町３−１１−１"
"愛知県","ゲーム キングジョイ","愛知県名古屋市中区栄3-3-32"
"愛知県","タイトーステーション 大須店","愛知県名古屋市中区大須３−２０−７"
"愛知県","タイトーステーションフェドラ大須店","愛知県名古屋市中区大須３−３０−３１"
"愛知県","ＧｉＧＯ金山","愛知県名古屋市熱田区金山１−１９ー２"
"愛知県","アミューズメントプラザ　マルシン","愛知県刈谷市池田町4-609"
"愛知県","ＧｉＧＯ豊橋飯村","愛知県豊橋市飯村町字西山２５−１２１"
"愛知県","名古屋レジャーランド大高店","愛知県名古屋市緑区忠治山201番地"
"愛知県","名古屋レジャーランド内田橋店","愛知県名古屋市南区内田橋2-26-22"
"愛知県","楽市街道 名古屋店","愛知県北名古屋市中之郷新明４５−１"
"愛知県","ラウンドワン鳴海店","愛知県名古屋市緑区鳴海町杜若２８"
"愛知県","ラウンドワン中川１号線店","愛知県名古屋市中川区法蔵町２−２３"
"愛知県","ラウンドワン半田店","愛知県半田市瑞穂町６−７−８"
"愛知県","ラウンドワン豊橋店","愛知県豊橋市大岩町字岩田２７−２"
"三重県","ゲームチャオ松阪店","三重県松阪市船江町７８０"
"三重県","ドリームキャンディ","三重県伊賀市小田町７１１−１"
"三重県","アピナ四日市店","三重県四日市市泊小柳町４−３４"
"三重県","プレビ　トナリエ四日市","三重県四日市市安島１−３−３１トナリエ５階"
"三重県","ＧｉＧＯ生桑","三重県四日市市生桑町字川原崎２９９−１"
"三重県","ラウンドワンみえ川越インターチェンジ店","三重県三重郡川越町南福崎８５１−１"
"三重県","ラウンドワン津・高茶屋店","三重県津市高茶屋小森町２７７−８"
"滋賀県","ACT草津ACTION","滋賀県草津市野路町1161-1"
"滋賀県","ゲームディーノ彦根店","滋賀県彦根市西沼波町１６６"
"滋賀県","エースレーン堅田","滋賀県大津市今堅田２−４０−１０"
"滋賀県","滋賀レジャーランド大津店","滋賀県大津市におの浜３−１−４３　イオンタウンアヤハプラザ内"
"滋賀県","タイトーFステーション　イオン近江八幡店","滋賀県近江八幡市鷹飼町南3-3-7"
"京都府","プレイランドキング円町店","京都府京都市中京区西ノ京西円町40"
"京都府","あそＶＩＶＡゲームセンター","京都府福知山市字堀小字下高田２１４６−１"
"京都府","サープラ京都あそびタウン","京都府京都市中京区西ノ京栂尾町107"
"京都府","ラウンドワン京都河原町店","京都府京都市中京区河原町通三条下ル山崎町２５０"
"大阪府","モンキートリック","大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F"
"大阪府","関大前フタバボウル","大阪府吹田市千里山東１−７−１８"
"大阪府","Ｇ−ｐａｌａあべの","大阪府大阪市阿倍野区阿倍野筋３−１０−１あべのベルタ２Ｆ"
"大阪府","エンジョイパラダイス","大阪府東大阪市長栄寺７−３パーラーメトロ永和店２Ｆ"
"大阪府","ゲームディーノ阪急茨木店","大阪府茨木市永代町５ ソシオビルＢ１"
"大阪府","あそＶＩＶＡ阪急茨木店","大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ"
"大阪府","ｎａｍｃｏ梅田店","大阪府大阪市北区小松原町３−３ＯＳビル２Ｆ"
"大阪府","ＧｉＧＯ難波アビオン","大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビルＢ１Ｆ〜３Ｆ"
"大阪府","ＧｉＧＯ布施","大阪府東大阪市長堂1-1-1ロンモール布施内"
"大阪府","ハイテクランドセガ西中島","大阪府大阪市淀川区西中島3-16-8深井センタービル1・2F"
"大阪府","ＧｉＧＯ大阪第４ビル","大阪府大阪市北区梅田１−１１−４駅前第４ビルＢ１Ｆ"
"大阪府","ＧｉＧＯあべのアポロ３階","大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ"
"大阪府","ゲームパニック堺","大阪府堺市堺区築港八幡町1番地堺浜ｼｰｻｲﾄﾞｽﾃｰｼﾞ内堺浜ｴﾝﾀﾒ館"
"大阪府","ラウンドワン堺中央環状店","大阪府堺市東区石原町２−２４１"
"大阪府","ラウンドワン千日前店","大阪府大阪市中央区難波１−３−１"
"兵庫県","遊スペース マジカル","兵庫県神戸市中央区琴ノ緒町５−２−３"
"兵庫県","プレイステーションネーブル西宮店","兵庫県西宮市両度町6-10"
"兵庫県","ゲームアイビス太子店","兵庫県揖保郡太子町太田2149"
"兵庫県","ラウンドワン加古川店","兵庫県加古川市尾上町安田325番6号"
"兵庫県","ラウンドワン伊丹店","兵庫県伊丹市昆陽７丁目２９"
"兵庫県","ラウンドワン姫路飾磨店","兵庫県姫路市飾磨区中島１−２５４"
"奈良県","アミューズメントＣＵＥ奈良大和高田店","奈良県大和高田市東中２−１１−１６"
"和歌山県","ピタゴラス和歌山","和歌山県和歌山市土入７３−１"
"鳥取県","アミパラがいな店","鳥取県米子市日ノ出町１−８−１３"
"島根県","ＧｉＧＯ松江","島根県松江市嫁島町１２−１５"
"岡山県","ファンタジスタ","岡山県倉敷市新倉敷駅前５−１９４"
"岡山県","アミパラテクノランド店","岡山県岡山市北区大和町１−７−１２"
"岡山県","アミパラ倉敷店","岡山県倉敷市西中新田624-1アミパラボウル1F"
"岡山県","アミパラ岡山店","岡山県岡山市北区青江１丁目１３−８"
"岡山県","ラウンドワン岡山妹尾店","岡山県岡山市南区妹尾３４１３−１"
"広島県","タイトーステーション 広島紙屋町店","広島県広島市中区紙屋町２−２−２１"
"広島県","アミパラここじゃ店","広島県東広島市西条町下見６−１０−１９"
"広島県","アミパラ神辺店","広島県福山市神辺町大字新道上字１−２−１"
"広島県","ビバーチャ","広島県広島市中区南竹屋町１０−１７"
"広島県","フタバ図書アルティランド","広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ"
"広島県","ラウンドワン広島店","広島県広島市中区立町３−１１"
"山口県","アミパラ下関店","山口県下関市長府才川１−４２−４８"
"山口県","フレスパランドカッタの湯","山口県宇部市海南町1675"
"徳島県","ラウンドワン徳島・万代店","徳島県徳島市万代町４−１９−１"
"香川県","ＧｉＧＯ高松","香川県高松市勅使町535"
"香川県","ラウンドワン高松店","香川県高松市松島町２−７−４３"
"愛媛県","アミューズメントパークＭＧ伊予三島","愛媛県四国中央市中之庄町７５−１　アイランド三島内"
"高知県","ラウンドワン高知店","高知県高知市南宝永町４−１２"
"福岡県","ｎａｍｃｏ博多バスターミナル店","福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階"
"福岡県","タイトーステーション 福岡天神店","福岡県福岡市中央区天神２−６−３５サザンクロスビル"
"福岡県","ペップ魚町","福岡県北九州市小倉北区魚町２−４−２０"
"福岡県","楽市街道箱崎店","福岡県福岡市東区箱崎５丁目１番８号"
"福岡県","楽市楽座福重店","福岡県福岡市西区石丸４−２６３−１"
"福岡県","ラウンドワン福岡天神店","福岡県福岡市中央区天神２−６−１２"
"福岡県","ラウンドワン小倉店","福岡県北九州市小倉北区西港町15-65"
"福岡県","ラウンドワン大野城店","福岡県大野城市御笠川１−１８−１６"
"佐賀県","ラウンドワン佐賀店","佐賀県佐賀市兵庫北４−２−１"
"長崎県","G-stage浜町","長崎県長崎市浜町2-26"
"熊本県","リッチモンド","熊本県八代市旭中央通２０−３"
"熊本県","スポラ九品寺","熊本県熊本市中央区九品寺5丁目10-15"
"熊本県","ラウンドワン熊本店","熊本県熊本市西区春日7-25-15"
"宮崎県","ラウンドワン宮崎店","宮崎県宮崎市中村東３−４−６０"
"鹿児島県","タイトーＦステーションニシムタ出水店","鹿児島県出水市六月田町３４７番地"
"鹿児島県","ラウンドワン鹿児島宇宿店","鹿児島県鹿児島市宇宿2-2-2"
