mise,2023年7月14日(金)7:00～8月6日(日)23:59
GiGO 岡山藤崎,岡山県岡山市中区藤崎599-12
GiGO 岡崎,愛知県岡崎市上地3-50-4
GiGO 岡谷,長野県岡谷市塚間町2-1-21
GiGO 幕張,千葉県千葉市美浜区ひび野1-8　メッセ・アミューズ・モール1F
GiGO 広,広島県呉市広中町1-9　フタバ図書ソフトピア広店2F
GiGO 広島本通,広島県広島市中区本通9-30　ランドマークビルB1・1F
GiGO 庄内,山形県東田川郡三川町猪子字大堰端326-6
GiGO 延岡,宮崎県延岡市平原町5-1492-8
GiGO 弘前,青森県弘前市末広1-3-3
GiGO 我孫子,千葉県我孫子市柴崎47-1
GiGO 所沢,埼玉県所沢市日吉町8-1
GiGO 掛川,静岡県掛川市細田248
GiGO 新宿西口,東京都新宿区西新宿1-12-5　西口三平ビル
GiGO 新居浜,愛媛県新居浜市徳常町6-8
GiGO 新杉田,神奈川県横浜市磯子区杉田1-1-1　らびすた新杉田2F
GiGO 日光,栃木県日光市芹沼1448-1
GiGO 日和田,福島県郡山市日和田町字西中島7-1
GiGO 日立,茨城県日立市田尻町3-26-1
GiGO 旭,千葉県旭市ニ字野場3150-1
GiGO 明石,兵庫県明石市魚住町清水2464-1　ドライブインながさわ内
GiGO 本厚木,神奈川県厚木市中町4-15-9
GiGO 松山,愛媛県松山市枝松5-7-32
GiGO 松本,長野県松本市渚1-7-1　なぎさライフサイト内
GiGO 松江,島根県松江市嫁島町12-15
GiGO 枚方,大阪府枚方市須山町83-1　サンシャインプラザ枚方内
GiGO 柏,千葉県柏市柏1-1-11　ファミリかしわB1F
GiGO 桑名,三重県桑名市大仲新田宮前158
GiGO 武生,福井県越前市新町3字13-4　シピィタウン内
GiGO 武雄,佐賀県武雄市武雄町富岡12517-1
GiGO 水戸,茨城県水戸市宮町1-7-44　コムボックス310　3F
GiGO 水戸南,茨城県水戸市千波町2017-1
GiGO 池上,東京都大田区池上6-2-3　松山ビル2F
GiGO 海田,広島県安芸郡海田町南大正町3-35
GiGO 海老名,神奈川県海老名市中央1-4-31　海老名プラザビル1F
GiGO 渋谷宮益坂,東京都渋谷区渋谷1-14-14　EST渋谷東口会館1F
GiGO 生桑,三重県四日市市生桑町字川原崎299-1
GiGO 町田,東京都町田市原町田6-13-17　アーバンミサワビルB1・1F
GiGO 相模原ラクーン,神奈川県相模原市中央区小山1-1-14　相模原ラクーン1F
GiGO 相模大野,神奈川県相模原市南区相模大野3-13-2　東和ビル2・3F
GiGO 石岡,茨城県石岡市東大橋中峯1976-1
GiGO 石巻,宮城県石巻市大街道東4-1-45
GiGO 神楽坂,東京都新宿区神楽坂2-11　第2カグラヒルズ1F
GiGO 福井,福井県福井市丸山1-410
GiGO 福山,広島県福山市瀬戸町山北300
GiGO 福岡天神,福岡県福岡市中央区天神2-7-6　DADAビル1～3F
GiGO 福島,福島県福島市本内中井1-2
GiGO 福生,東京都福生市福生1076-1
GiGO 秋葉原1号館,東京都千代田区外神田1-10-9
GiGO 稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
GiGO 立川,東京都立川市柴崎町3-2-1　サザンビル1F
GiGO 竹の塚,東京都足立区竹の塚6-8-6
GiGO 籠原,埼玉県熊谷市美土里町1-169
GiGO 米沢,山形県米沢市花沢字タナコ原177
GiGO 綱島,神奈川県横浜市港北区綱島西2-6-29　城田ビル1～3F
GiGO 自由が丘,東京都目黒区自由が丘2-10-9
GiGO 船堀,東京都江戸川区船堀1-6-11
GiGO 袋井,静岡県袋井市川井1142-1
GiGO 西葛西,東京都江戸川区西葛西5-1-14　第一保志ビル
GiGO 西那須野,栃木県那須塩原市南郷屋2-106-27
GiGO 豊橋飯村,愛知県豊橋市飯村町西山25-121
GiGO 豊田,愛知県豊田市深田町1-65-1
GiGO 赤羽,東京都北区赤羽1-7-9　赤羽第一葉山ビルB1F
GiGO 赤羽駅前,東京都北区赤羽1-2-4
GiGO 金山,愛知県名古屋市熱田区金山1-19-2
GiGO 難波アビオン,大阪府大阪市浪速区難波中2-3-15　MMOビルB1～3F
GiGO 霞ケ浦,茨城県稲敷市西代1473-1
GiGO 館林,群馬県館林市小桑原町949-1
GiGO 高田馬場,東京都新宿区高田馬場4-7-5　高田馬場グランド東京ビル
GiGO 鳥取,鳥取県鳥取市安長416
GiGO 龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8
Hey,東京都千代田区外神田1-10-5　廣瀬本社ビル
INTER PARK +1 宇都宮,栃木県宇都宮市インターパーク6-5-1
M&#039;sPARK刈谷,愛知県刈谷市稲場町3-206
M&#039;sPARK豊田,愛知県豊田市寿町3-21・22　トヨタグランドビル
MIRAINOイオンモール土岐,岐阜県土岐市土岐津町土岐口中山1372-1　イオンモール土岐2F
MIRAINOイオンモール白山,石川県白山市横江町5001　イオンモール白山3F
PALO五所川原,青森県五所川原市唐笠柳字藤巻641-1　アクロスプラザ五所川原内
PALO諏訪,長野県諏訪市沖田町5-18　諏訪ステーションパーク1・2F
PEP魚町,福岡県北九州市小倉北区魚町2-4-20
THE 3RD PLANET BiVi京都二条,京都府京都市中京区西ノ京栂尾町107　BiVi二条2F
THE 3RD PLANET BiVi仙台,宮城県仙台市宮城野区榴岡2-1-25　BiVi仙台駅東口2F
THE 3RD PLANET BiVi沼津,静岡県沼津市大手町1-1-5　BiVi沼津3F
THE 3RD PLANET ジャングルパーク鹿児島,鹿児島県鹿児島市与次郎1-11-1　フレスポジャングルパーク2F
THE 3RD PLANET ピボット福島,福島県福島市栄町1-1　パワーシティピボット内
THE 3RD PLANET フレスポ八潮,埼玉県八潮市大瀬1-1-3　フレスポ八潮3F
THE 3RD PLANET 下通り,熊本県熊本市中央区手取本町4-12　ザ･ファインビル
THE 3RD PLANET 多摩センター,東京都多摩市落合1-41-1　マグレブWEST 1・2F
THE 3RD PLANET 山口,山口県山口市湯田温泉6-8-3
THE 3RD PLANET 島田,静岡県島田市中溝町2531
THE 3RD PLANET 焼津,静岡県焼津市八楠3-18-5
THE 3RD PLANET 荒尾,熊本県荒尾市原万田700-1
VAMP中川,愛知県名古屋市中川区新家1-2007
VIVAZONE糸魚川,新潟県糸魚川市寺島3-2-40　ヴィラオレッタ糸魚川2F
YAZ寝屋川,大阪府寝屋川市石津中町25-26
namcoららぽーと福岡,福岡県福岡市博多区那珂6-23-1　ららぽーと福岡内4F
namcoイオンタウン大館西,秋田県大館市根下戸新町18-121　イオンタウン大館西内
namcoイオンタウン郡山,福島県郡山市松木町2-88　イオンタウン郡山内
namcoイオンモールKYOTO,京都府京都市南区西九条鳥居口町1　イオンモールKYOTO　Sakura館4F
namcoフェドラP＆D佐野,栃木県佐野市高萩町1340　フェドラP＆D SANO
namcoフジグラン今治,愛媛県今治市東門町5-13-1　フジグラン今治2F
namcoマグスミノエ,大阪府大阪市住之江区泉1-1-82　マグスミノエ1F
namcoモラージュ佐賀,佐賀県佐賀市巨勢町大字牛島730　モラージュ佐賀1・2F
namco中野,東京都中野区中野5-52-15　中野ブロードウェイ別館
namco博多バスターミナル,福岡県福岡市博多区博多駅中央街2-1　博多バスターミナルビル7F
namco大阪日本橋,大阪府大阪市浪速区難波中2-1-17　コスモビル1～3F
namco宇都宮,栃木県宇都宮市簗瀬町1606-1　フェドラP＆D UTSUNOMIYA
namco巣鴨,東京都豊島区巣鴨1-15-1　宮田ビルB1・B2F
namco新潟,新潟県新潟市中央区南笹口1-1-1　ひもろぎビル2F
namco松戸,千葉県松戸市松戸1230-1　ピアザ松戸1F
namco梅田,大阪府大阪市北区小松原町3-3　OSビル1～3F
namco池袋BLUE,東京都豊島区東池袋1-22-10　ヒューマックスパビリオン池袋サンシャイン60通り1F
namco熊谷,埼玉県熊谷市銀座2-97　カルパビル1F
namco王子サンスクエア,東京都北区王子1-4-1　サンスクエアビル2F
namco秋葉原,東京都千代田区外神田1-15-9
namco豊岡,兵庫県豊岡市中陰字大工617　3F
namco都筑,神奈川県横浜市都筑区川和町846-1
you me CIRCUS,島根県出雲市大塚町650-1　ゆめタウン出雲東館3F
あそVIVAゲームセンター,京都府福知山市堀上高田2146-1　あそVIVA1F
あそVIVA阪急茨木,大阪府茨木市永代町6-2　スポーツプラザ茨木2F
あみぱらんど福山,広島県福山市三吉町南2-8-24
アクション草津,滋賀県草津市野路3-1-11　ACT草津2号館
アップル島田,静岡県島田市宝来町8-5
アップル新北街道,静岡県静岡市葵区沓谷5-13-4
アテナ日本橋,大阪府大阪市浪速区難波中2-1-22
アドアーズ上野アメ横,東京都台東区上野4-9-14　上野K.K.ビルB1～4F
アドアーズ中野,東京都中野区中野5-52-15　中野ブロードウェイ1F　185
アドアーズ仙川,東京都調布市仙川町2-21-12　VICビル7　1～3F
アドアーズ和光,埼玉県和光市本町3-5　MillionAnnex和光1～3F
アドアーズ新小岩,東京都葛飾区新小岩1-44-4　リバティビルB1～3F
アドアーズ橋本,神奈川県相模原市緑区橋本3-3-1　SING橋本2F
アドアーズ池袋東口,東京都豊島区東池袋1-41-4　池袋とうきゅうビル1・2F
アドアーズ船橋,千葉県船橋市本町1-31-26　セブン船橋B1～4F
アドアーズ蕨,埼玉県蕨市塚越1-4-4　ラ・セーヌビル2F
アドアーズ藤沢北口,神奈川県藤沢市藤沢460-1　3・4F
アピナ上尾,埼玉県上尾市緑丘3-3-11-2　P･A･P･A上尾ショッピングアベニュー　プリンセス棟別棟
アピナ上田,長野県上田市秋和359-1
アピナ上越インター,新潟県上越市下門前1661
アピナ下館,茨城県筑西市玉戸1012-3
アピナ伊那,長野県伊那市西町5093
アピナ佐久インター,長野県佐久市岩村田北1-13-1
アピナ八王子みなみ野,東京都八王子市みなみ野1-2-1　アクロスモール3F
アピナ印西,千葉県印西市原1-2　ビッグホップガーデンモール印西2F
アピナ各務原,岐阜県各務原市蘇原花園町2-9-1
アピナ四日市,三重県四日市市泊小柳町4-34
アピナ塩尻,長野県塩尻市広丘野村1794-1
アピナ大宮,埼玉県さいたま市大宮区仲町1-19　大東ビルB1・1F
アピナ太田,群馬県太田市内ケ島町907-1
アピナ姫路,兵庫県姫路市東郷町1454-3　姫路リオス2F
アピナ富山南,富山県富山市堀川町355-3　マイプラザ内
アピナ富山新庄,富山県富山市荒川3-2-12
アピナ富山豊田,富山県富山市豊田町2-12-66
アピナ富谷,宮城県富谷市大清水1-33-1　イオンモール富谷別棟109シネマズ富谷1F
アピナ小山,栃木県小山市駅南町4-27-18
アピナ川越,埼玉県川越市泉町1-1　ウニクス南古谷シネマ棟1F
アピナ松本,長野県松本市双葉19-10
アピナ橋本,神奈川県相模原市緑区西橋本5-1-1　ラ・フロール駐車場棟1F
アピナ浜松,静岡県浜松市中区葵西2-27-10
アピナ焼津,静岡県焼津市道原585
アピナ荻窪,東京都杉並区上荻1-13-10　ハクサンビル
アピナ野田七光台,千葉県野田市七光台4-2　イオンタウン野田七光台内
アピナ鈴鹿,三重県鈴鹿市庄野羽山4-20-1　イオンタウン鈴鹿2F
アピナ長岡,新潟県長岡市堺東町22
アピナ長野大橋,長野県長野市若里7-9-12
アピナ長野川中島,長野県長野市川中島町御厨967-1
アピナ飯田,長野県飯田市座光寺3728-1
アピナ鶴岡,山形県鶴岡市文下字広野1-1
アミパラがいな,鳥取県米子市日ノ出町1-8-13
アミパラここじゃ,広島県東広島市西条町下見6-10-19
アミパラ下関,山口県下関市長府才川1-42-48
アミパラ丸亀,香川県丸亀市飯野町西分字川縁甲584-1　ハローズ棟内
アミパラ久御山,京都府久世郡久御山町森大内337　イオンタウン久御山内
アミパラ佐世保,長崎県佐世保市大塔町18-15
アミパラ倉敷,岡山県倉敷市西中新田624-1　アミパラボウル1F
アミパラ加古川,兵庫県加古川市尾上町今福71-2
アミパラ周南久米,山口県周南市久米2834　イオンタウン周南久米内
アミパラ垂水,兵庫県神戸市垂水区名谷町字室山1400-18
アミパラ大東,大阪府大東市南新田2-3-5
アミパラ岡山,岡山県岡山市北区青江1-13-8
アミパラ広島,広島県広島市西区西観音町3-17
アミパラ松山,愛媛県松山市生石町655-1
アミパラ橿原,奈良県橿原市十市町1222-1　ツインゲート橿原1F
アミパラ津山,岡山県津山市河辺1000-1　イオンモール津山2F
アミパラ神辺,広島県福山市神辺町新道上1-2-1　フジグラン神辺向かい
アミパラ草津,滋賀県草津市木川町72
アミパラ鈴鹿,三重県鈴鹿市西條町字東澤430-1
アミパラ高松,香川県高松市伏石町2168-2
アミパラ高知,高知県南国市篠原194-1
アミュージアム茂原,千葉県茂原市高師1619-1
アミュージアム高松,香川県高松市伏石町2144-9
アミューズビバ,茨城県ひたちなか市東大島2-11-11
アミューズメントCUE奈良三条,奈良県奈良市三条町478-1
アミューズメントCUE奈良大和高田,奈良県大和高田市東中2-11-16
アミューズメントFUNFUN越谷,埼玉県越谷市南荻島2770-1
アミューズメントエース津田沼,千葉県船橋市前原西2-15-1　ファミービル1～3F
アミューズメントスペースASO VIBA!,東京都渋谷区恵比寿1-10-5　三恵エビスビル2・3F
アミューズメントスペース遊ランド春光,北海道旭川市春光一条7-2-25　第2ダイワビル2F
アミューズメントスペース遊ランド稚内,北海道稚内市港5-8-15
アミューズメントパフェパレパレ田宮,徳島県徳島市南田宮2-2-46
アミューズメントパフェパレパレ稲毛長沼,千葉県千葉市稲毛区長沼原町737-25　フレスポ稲毛A棟-4
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18　グリーンパーク長命泉内
アミューズメントパークMG ジアス,広島県福山市柳津町1-7-60
アミューズメントパークMG 伊予三島,愛媛県四国中央市中之庄町75-1
アミューズメントパークMG 東予周布,愛媛県西条市周布715-1　フジ東予店別館
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28　赤い風船パーク本館2F
アミューズメントプラザマルシン,愛知県刈谷市池田町4-609
アミューズメントプラザワイド,愛知県東海市名和町二番割上16-2
アミューズメントレイブファクトリーマーズ,神奈川県横浜市中区長者町6-105
アミューズランドモナコ川越,埼玉県川越市新富町2-4-1
アミューズランドモナコ調布駅前,東京都調布市布田4-2-22
アルゴ,兵庫県神戸市中央区下山手通1-1-8
イスカンダル木更津,千葉県木更津市潮見4-1-2
インターワールド伊勢崎,群馬県伊勢崎市宮子町3425-4
インターワールド幸手,埼玉県幸手市上高野2142-1
ウェアハウス一橋学園,東京都小平市学園東町1-4-39　平山ビル3F
ウェアハウス三橋,埼玉県さいたま市西区三橋6-955-1
ウェアハウス上尾,埼玉県上尾市二ツ宮1044
ウェアハウス保木間,東京都足立区保木間1-1-19
ウェアハウス南流山,千葉県流山市南流山4-16-6
ウェアハウス岩槻,埼玉県さいたま市岩槻区加倉3-3-63
ウェアハウス草加店新館,埼玉県草加市稲荷2-36-33
ウェアハウス越谷,埼玉県越谷市南荻島841-1
エースレーン堅田,滋賀県大津市今堅田2-40-10　ACT堅田2F
エースレーン守山,滋賀県守山市播磨田町231-4　ACT守山3番館2F
エースレーン愛知川,滋賀県愛知郡愛荘町長野200
エースレーン近江八幡,滋賀県近江八幡市出町736　ACT近江八番2番館1F
オリエンタルバッティングセンター可児,岐阜県可児市今渡695-1
オークランドボウル春日井,愛知県春日井市鳥居松町3-11　1Fゲームコーナー
キャッツアイ八千代,千葉県八千代市緑が丘西2-13-3　ism緑が丘内
キャッツアイ宮の沢,北海道札幌市手稲区西宮の沢五条2-11-15
キャッツアイ恵庭,北海道恵庭市住吉町2-9-1
キャッツアイ新川,北海道札幌市北区新川二条7-1-7
キャッツアイ東苗穂,北海道札幌市東区東苗穂六条2-1-25
キャッツアイ清田,北海道札幌市清田区清田一条1-20-1
キャッツアイ篠路,北海道札幌市北区篠路一条4-6-30
キャッツアイ苫小牧駅前,北海道苫小牧市木場町1-3
キャロム坂戸,埼玉県坂戸市関間2-151-1
キャロム所沢,埼玉県所沢市下安松969-1
キャロム青梅,東京都青梅市千ケ瀬町4-326-1
ギガステーション戸田,埼玉県戸田市美女木943-7
ゲームアイビス太子,兵庫県揖保郡太子町太田2149
ゲームアルカナ,愛知県稲沢市朝府町2-33
ゲームインファンファン藤沢店新館,神奈川県藤沢市鵠沼石上1-3-8
ゲームガリバー柏,千葉県柏市柏1-1-11　ファミリかしわB1F
ゲームコスモ金沢文庫,神奈川県横浜市金沢区谷津町344
ゲームコング,愛知県豊田市広路町2-20
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60　斎喜東部ビル
ゲームサファリ大山,東京都板橋区大山東町60-10　やすだ大山駅前店2F
ゲームサファリ池袋,東京都豊島区東池袋1-42-3　やすだ東池袋店2F
ゲームシティ川口,埼玉県川口市栄町1-10-5
ゲームスタジオキューブ高円寺,東京都杉並区高円寺南4-26-12　福丸ビルB1F
ゲームスペースA-3,福島県西白河郡西郷村豊作西15-16-17
ゲームスポット207,富山県高岡市鐘紡町1655-3
ゲームスポット306,富山県高岡市昭和町2-267-5
ゲームセンターテクノポリス,新潟県長岡市要町1-8-50
ゲームセンター電撃ベイサイド,鹿児島県鹿児島市浜町2-2
ゲームチャリオット五井,千葉県市原市五井中央西2-1-2
ゲームディーノ彦根,滋賀県彦根市西沼波町166
ゲームディーノ阪急茨木,大阪府茨木市永代町5　ソシオビルB1F
ゲームパニックつくば,茨城県土浦市中村東1-1-1　サンタスワールド内
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ゲームパニック堺,大阪府堺市堺区築港八幡町1-1　堺浜シーサイドステージ　堺浜えんため館内
ゲームパニック大高,愛知県名古屋市緑区忠治山201　名古屋グランドボウルB2F
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ヒューマックスパビリオン新宿歌舞伎町1F・2F
ゲームパニック秋葉原,東京都千代田区外神田1-13-1　Akihabara　ex
ゲームパラダイスゼロワン,神奈川県横須賀市若松町1-6　ヨコビル3F
ゲームパーク石神井公園,東京都練馬区石神井町3-17-16
ゲームピコ鵜沼,岐阜県各務原市鵜沼西町3-309　イオンタウン各務原鵜沼内
ゲームファクトリーマグマ草加,埼玉県草加市氷川町2125-1
ゲームファンタジアン岡崎,愛知県岡崎市錦町2-4
ゲームファンタジアン精華,岐阜県岐阜市鏡島精華2-2-1
ゲームファンタジアン長久手,愛知県長久手市武蔵塚705
ゲームフェイス八尾,大阪府八尾市天王寺屋2-68
ゲームプラザエム,大阪府守口市本町1-3-3
ゲームプラザセントラル八王子,東京都八王子市東町12-15　第五セントラルビル
ゲームプラザセントラル浦安,千葉県浦安市北栄1-16-15　第四セントラルビル
ゲームポイントシャトーEX,大阪府大阪市都島区東野田町3-9-3
ゲームメガつくば,茨城県つくば市小野崎177-2
ゲームメガみらい平,茨城県つくばみらい市陽光台1-14-1
ゲームメガ日立,茨城県日立市東多賀町5-10-10
ゲームラボサイドセブン,大分県大分市上宗方1-649-1
ゲームランド岡崎,愛知県岡崎市戸崎町字外山38-5　イオンモール岡崎シネマ館3F
ゲームランド新さっぽろ,北海道札幌市厚別区厚別中央二条5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F
ゲームランド津田沼,千葉県習志野市津田沼1-23-1　イオンモール津田沼2F
ゲームランド盛岡,岩手県盛岡市前潟4-7-1　イオンモール盛岡2F
ゲームリボン東十条,東京都北区東十条4-4-23　岩本ビル
ゲーム・キング・ジョイ,愛知県名古屋市中区栄3-3-32
ゲーム・パラダイス,石川県金沢市堀川新町5-1　アミューズメントスクエア3F
ゲーム最後の5ドル,福岡県糟屋郡粕屋町仲原2706　仲原Jボウル2F
コスミックプラザABC,大阪府寝屋川市早子町18-14
コミ丸アリババ大垣,岐阜県大垣市池尻町940-1
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
コムテックタワー,愛知県名古屋市中村区名駅4-10-20
サンゲームス佐世保,長崎県佐世保市田原町38-1
サンゲームス新宮,福岡県糟屋郡新宮町美咲3-1-40
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
サンゲームス都城北,宮崎県都城市上川東4-5997-4
サービスエリアイン高岡,富山県高岡市下石瀬857-1
サープラ富士あそびタウン,静岡県富士市永田町2-94
シルクハット伊勢佐木町,神奈川県横浜市中区伊勢佐木町3-96　日活会館3F
シルクハット八王子,東京都八王子市旭町2-5　八王子ツインタワービルA館
シルクハット大森,東京都大田区山王2-4-1　大森駅前ビル2F
シルクハット大船,神奈川県鎌倉市大船1-24　大船駅前ビル1～3F
シルクハット川口,埼玉県川口市栄町3-1-16　イート川口ビル4F
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町8　ダイスビルB2F
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町7　川崎モアーズ1・2F
シルクハット本厚木,神奈川県厚木市中町3-4-22　第二会田ビル2F
シルクハット横須賀中央,神奈川県横須賀市若松町1-5　プライムビル2F
シルクハット津田沼,千葉県習志野市津田沼1-2-1　十三ビルB1F
シルクハット蒲田西口,東京都大田区西蒲田7-2-3　第二醍醐ビルB1～2F
ジョイランドアミューズみしま,静岡県三島市梅名308-6　1F
ジョイランドアミューズ諏訪,静岡県沼津市大諏訪20-2
ジョイランド敦賀,福井県敦賀市木崎40　土三田12
スタジオプリモ宇都宮,栃木県宇都宮市曲師町2-8　宇都宮フェスタB1F
スタジオプリモ本八幡,千葉県市川市八幡2-15-10　パティオ5F
スペースV1廿日市,広島県廿日市市本町4-23
スペースワン,福岡県小郡市小郡1466-3
スポラ九品寺,熊本県熊本市中央区九品寺5-10-15
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代2617-2
スポーツウェーブ鉄腕24浜野,千葉県千葉市中央区浜野町1025-59
スポーツウェーブ鉄腕24稲毛長沼,千葉県千葉市稲毛区長沼原町697
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山1-35-57　イオン仙台中山SC　イオン仙台中山店別館3F
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町4-5-13　サンシャインビル1F
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地55-1　利府ペアガーデン内
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下142
スーパーノバ天童,山形県天童市南町1-5-26
セガワールド豊科,長野県安曇野市豊科南穂高1115　スワンガーデン安曇野内
セガワールド高山,岐阜県高山市上岡本町7-7
ソニックワールド伊万里,佐賀県伊万里市二里町八谷搦189-3
ソニックワールド大村,長崎県大村市古賀島町383-1
ソユーエンターテイメントスタジオ須賀川,福島県須賀川市古河105　イオンタウン須賀川B棟内
ソユーゲームフィールド古川,宮城県大崎市古川沢田字筒場浦15　イオンタウン古川内
ソユースペースファンタジーインフィニ,青森県弘前市城東北3-10-1　さくら野百貨店弘前店4F
タイトーFステーションVAL小山,栃木県小山市城山町3-3-22　VAL小山駅ビル3F
タイトーFステーションイオン近江八幡,滋賀県近江八幡市鷹飼町南3-7　イオン近江八幡SC1番街　イオン近江八幡店1F
タイトーFステーションオリナス錦糸町,東京都墨田区太平4-1-2　オリナスモールB1F
タイトーFステーションクレアモール川越,埼玉県川越市新富町2-1-13　カシーラ本川越1～4F
タイトーFステーションセントポルタ大分,大分県大分市中央町2-1-1
タイトーFステーションニシムタ出水,鹿児島県出水市六月田町347
タイトーFステーション三宮西館,兵庫県神戸市中央区三宮町2-11-1　センタープラザ西館3F
タイトーFステーション上越,新潟県上越市富岡3524　J-MAXシアター内1F
タイトーFステーション吉祥寺JOY,東京都武蔵野市吉祥寺本町1-8-23　河田ビル
タイトーFステーション向ヶ丘遊園,神奈川県川崎市多摩区登戸2718-1
タイトーFステーション小山,栃木県小山市喜沢1475　おやまゆうえんハーヴェストウォークSC棟
タイトーFステーション山口メルクス,山口県山口市黒川82-1　ハイパーモールメルクス山口内
タイトーFステーション市川妙典,千葉県市川市妙典4-1-1　イオン市川妙典2番街2F
タイトーFステーション柏中央,千葉県柏市十余二249-5　M.E.M.1F
タイトーFステーション郡山オリエントパーク,福島県郡山市郡山市安積町荒井字大久保35-1
タイトーFステーション静岡,静岡県静岡市葵区呉服町2-5-4　ふしみや第2ビル
タイトーステーションBIGBOX高田馬場,東京都新宿区高田馬場1-35-3　BIG BOX高田馬場6F
タイトーステーションBIGFUN平和島,東京都大田区平和島1-1-1　BIGFAN平和島3F
