m,b,第4弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」参加店舗一覧2020年6月25日(木) ～9月2日(水)
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通7-2-5イオンモール旭川駅前4F
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
仙台レジャーランド一番町,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1F~3F
タイトーステーション 仙台名掛丁,宮城県仙台市青葉区中央1-7-13
タイトーステーション 仙台クリスロード,宮城県仙台市青葉区中央2-3-25
セガ仙台,宮城県仙台市青葉区中央2-5-5
プレイランドエフワンR,宮城県仙台市青葉区中央2-6-6タベイビルB1F
ビーカム松森,宮城県仙台市泉区松森字斎兵衛58-1
GAMEBANK仙台泉,宮城県仙台市泉区大沢2-5-4
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山1-35-57別館3F
タイトーステーション 仙台ベガロポリス,宮城県仙台市太白区西多賀5-24-1ベガロポリス内
ゲームフィールド仙台長町,宮城県仙台市太白区長町7丁目20番3号ザ・モール仙台長町店3階
セガワールド古川,宮城県大崎市古川城西15
SOYU GAME FIELD古川,宮城県大崎市古川沢田字筒場浦15番地イオンタウン古川内
ゲームランド佐沼,宮城県登米市南方町新島前46-1イオンタウン佐沼SC
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
ゲームフィールド十文字,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
G3ポロス横手南,秋田県横手市婦気大堤字中田4-1イオンスーパーセンター横手南店2階
セガ秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田,秋田県秋田市卸町1-1-2
SOYUGameField御所野,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
秋田OPAアミューズパーク,秋田県秋田市千秋久保田町4-2秋田OPA内
ペニーポット秋田,秋田県秋田市中通2-8-1フォンテ秋田4F
namcoイオンタウン大館西,秋田県大館市根下戸新町18-121ロックST大館西内
メルヘンランド大館,秋田県大舘市御成町3-7-58いとく大館3F
プラサカプコン大曲,秋田県大仙市和合字坪立177イオン大曲SC2F
リスチャイルド湯沢,秋田県湯沢市字上萩生田162イオンスーパーセンター湯沢店内
AN・KIN・TAN五城目,秋田県南秋田郡五城目町大字大川西野字田屋前138イオンSUC五城店
プレイランドソピアいとくアクロス能代,秋田県能代市字寺向70いとくアクロス能代店内
ゲームフィールド鷹巣,秋田県北秋田市栄字前綱76 いとく鷹巣SC内
リスチャイルドたかのす,秋田県北秋田市栄字中綱31-1イオンタウンたかのす店内
リスチャイルド本荘,秋田県由利本荘市石脇字田中138SC本荘店内
スタジオプリモ山形,山形県山形市城南町1-1-1 霞城セントラル2F
ビーカム成沢,山形県山形市成沢西5-3-27
ゲームゾーントレジャー吉原,山形県山形市前明石1352-5ゲームプラザBE・IN2内1F
パルケ・デ・アミーゴ!山形,山形県山形市嶋北1-3-1
セガワールド北山形,山形県山形市北町1-3-20
トレジャー新庄,山形県新庄市金沢沖1068
アピナ鶴岡,山形県鶴岡市文下字広野1-1
スーパーノバ天童,山形県天童市南町1-5-26
ソユーゲームフィールド天童,山形県天童市芳賀タウン北4-1-1 イオンモール天童2F
ソユーゲームフィールド三川,山形県東田川郡三川町大字猪子字和田庫128-1イオン三川1F
セガ庄内,山形県東田川郡三川町猪字大堰端326番地6
NEXT・ONE米沢,山形県米沢市金池5丁目3-18
セガ米沢,山形県米沢市大字花沢字タナコ原177
ソユーゲームフィールド小名浜,福島県いわき市小名浜字辰巳町79イオンモールいわき小名浜3F
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
ドリームファクトリーいわき,福島県いわき市中央台飯野4-1
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下142
タイトーF郡山オリエントパーク,福島県郡山市安積町荒井字大久保35-1
ラウンドワン郡山,福島県郡山市向河原町4-55
ゲームプラザAGS,福島県郡山市西ノ内2-11-40イトーヨーカドー郡山店4F
タイトーアミューズメントシティ郡山,福島県郡山市南2-38 フレスポ郡山内
セガ日和田,福島県郡山市日和田町字西中島7-1
SOYU E-STUDIO須賀川,福島県須賀川市古河105イオンタウン須賀川B棟内
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
THE 3RD PLANET ピボット福島,福島県福島市栄町1-1 パワーシティーピボット内
スーパーノバ福島,福島県福島市黒岩字中島7-2
ラウンドワン福島,福島県福島市太田町14-18
セガワールド福島,福島県福島市本内中井1-2
ピンクパンサーつくばみらい,茨城県つくばみらい市陽光台1-14-1
namco iiasつくば,茨城県つくば市研究学園5-19-1iiasつくば店2F2190
アミューズメントジャムジャムつくば,茨城県つくば市竹園1-9-2デイズタウンつくばB1F
AMジャムジャムひたちなか本店,茨城県ひたちなか市田中後40-2
アミューズビバ,茨城県ひたちなか市東大島2-11-11
セガ霞ヶ浦,茨城県稲敷市西代1473-1
ドリームファクトリーブイブイ!堺町,茨城県猿島郡境町1327-1MGMパワーセンター内1F
ピンクパンサー下妻,茨城県下妻市小島884-10
ピンクパンサー友部,茨城県笠間市住吉1364-1
ピンクパンサー結城,茨城県結城市結城10520-1
GAME PADDOCK+1,茨城県古河市小堤1916-1
宝島鹿嶋,茨城県鹿嶋市宮中290-1ショッピングセンターチェリオ1F
SOYU TOY’S NY 守谷,茨城県守谷市百合ヶ丘3丁目字向原249-1 2F
アミューズメントジャムジャム神栖,茨城県神栖市神栖1-8-1
ピンクパンサー水戸赤塚,茨城県水戸市河和田1-1
スタジオプリモ水戸,茨城県水戸市宮町1-2-4マイム1F
セガ水戸,茨城県水戸市宮町1-7-44コムボックス310
ピンクパンサー水戸けやき台,茨城県水戸市酒門町3276-1
セガ水戸南,茨城県水戸市千波町2017-1
ユーズランド水戸内原,茨城県水戸市内原2-1イオンモール水戸内原2F
セガ石岡,茨城県石岡市東大橋中峯1976-1
アピナ下館,茨城県筑西市玉戸1012-3
楽市楽座イオンモール土浦,茨城県土浦市上高津367イオンモール土浦SC3階
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ピンクパンサー土浦,茨城県土浦市木田余4585-3
ピンクパンサー那珂,茨城県那珂市菅谷1593-8
プレビ イトーヨーカ堂日立,茨城県日立市幸町1-16-1イトーヨーカドー日立店5階
セガワールド日立,茨城県日立市田尻町3-26-1
ピンクパンサー日立,茨城県日立市東多賀町5-10-10
セガ龍ケ崎,茨城県龍ケ崎市藤ケ丘4-2-8
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク6-5-1
TFSララスクエア宇都宮,栃木県宇都宮市駅前通り1-4-6
スタジオプリモ宇都宮,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
ラウンドワン宇都宮,栃木県宇都宮市江曽島町2072-1
ゲーム&ビリヤード 遊ing,栃木県宇都宮市石井町下平出境2707-4
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町7-3
タイトーステーション 宇都宮ベルモール,栃木県宇都宮市陽東6-2-1ベルモール内2F
ナムコプラボ宇都宮,栃木県宇都宮市簗瀬町1606-1 P&Dビル
namcoフェドラP&D佐野,栃木県佐野市高萩町1340
ドリームファクトリーアロハ!鹿沼,栃木県鹿沼市睦町287-1
アピナ小山,栃木県小山市駅南町4-27-18
タイトーFステーション小山,栃木県小山市喜沢1475-52おやまゆうえんハーウﾞェストウォーク内
タイトーFステーションVAL小山,栃木県小山市城山町3丁目3番地22号小山駅ビル3F
namcoロブレ小山,栃木県小山市中央町3-7-1 ロブレ小山内4階&5階
セガ小山,栃木県小山市東城南1-1-18
ドラマ足利,栃木県足利市朝倉町244-1
namcoイオン栃木,栃木県栃木市箱森町37-9イオン栃木内2階
ラウンドワン栃木・樋ノ口,栃木県栃木市樋ノ口町55-1
大田原スポーツランド,栃木県那須塩原市一区町104-60
セガ西那須野,栃木県那須塩原市南郷屋2-106-27
セガ今市,栃木県日光市芹沼1448-1
インターワールド伊勢崎,群馬県伊勢崎市宮子町3425-4
セガスマーク伊勢崎,群馬県伊勢崎市小保方町368番地スマーク伊勢崎3F北-302
群馬レジャーランド伊勢崎,群馬県伊勢崎市連取町3066-1
関東スポーツセンター,群馬県館林市近藤840
セガワールド館林,群馬県館林市小桑原町949-1
宝島 桐生,群馬県桐生市永楽町5-10MEGAドン・キホーテ桐生店3F
THE 3RD PLANET 高崎,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
群馬レジャーランド高崎駅東口,群馬県高崎市江木町333-1高崎EXビル
ユーズランド高崎,群馬県高崎市棟高町1400番地イオンモール高崎2F
群馬レジャーランド渋川,群馬県渋川市八木原1364
セガワールド沼田,群馬県沼田市下久屋町1100-1
ゲームパークM1,群馬県前橋市国領町2-13-6
ラウンドワン前橋,群馬県前橋市天川大島町1101-1
namcoけやきウォーク前橋,群馬県前橋市文京町2-1-1けやきウォーク2F
群馬レジャーランド太田,群馬県太田市西矢島町162-2
セガワールド太田,群馬県太田市西矢島町575-1
ユーズランド太田,群馬県太田市石原町81番地イオンモール太田2F
アピナ太田,群馬県太田市内ケ島町907-1
群馬レジャーランド藤岡,群馬県藤岡市中2002-1
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ウェアハウス岩槻,埼玉県さいたま市岩槻区加倉3-3-63
ウェアハウス三橋,埼玉県さいたま市西区三橋6-955-1
ラウンドワン大宮,埼玉県さいたま市大宮区宮町4-90-7
タイトーFステーションダイエー大宮,埼玉県さいたま市大宮区桜木町2丁目3番地
タイトーステーション 大宮,埼玉県さいたま市大宮区大門町1-1
アピナ大宮,埼玉県さいたま市大宮区仲町1-19
Spica大宮南銀,埼玉県さいたま市大宮区仲町1-57
セガ与野,埼玉県さいたま市中央区本町西5-2-9イオンモール与野3F
宝島 浦和美園,埼玉県さいたま市緑区美園5-50-1イオンモール浦和美園2F
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野2-16-1LCモールうれし野2F
プラサカプコン羽生,埼玉県羽生市川崎2-281-3イオンモール羽生2階
namcoイオンレイクタウン,埼玉県越谷市レイクタウン3-1-1イオンレイクタウンmori
ユーズランド越谷,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
ベネクス越谷,埼玉県越谷市南荻島2770-1
ウェアハウス越谷,埼玉県越谷市南荻島841-1
ラウンドワンさいたま・栗橋,埼玉県久喜市小右衛門192-1
プレイランド菖蒲,埼玉県久喜市菖蒲町菖蒲6005番地1 モラージュ菖蒲3F
キャッツアイ狭山,埼玉県狭山市入間川3141
SOYUGameFeild熊谷,埼玉県熊谷市銀座2-245ニットモール4F
namco熊谷,埼玉県熊谷市銀座2-97CARPA1階
セガワールド籠原,埼玉県熊谷市美土里町1-169
ギガステーション戸田,埼玉県戸田市大字美女木943-7
アミュージアム鴻巣,埼玉県鴻巣市本町1-1-2エルミこうのす3F
ラウンドワンさいたま・鴻巣,埼玉県鴻巣市箕田3163-7
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワンららぽーと新三郷,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・上里,埼玉県児玉郡上里町大字金久保394-1
ユーズランド春日部,埼玉県春日部市下柳420-1イオンモール春日部2F
埼玉レジャーランド春日部,埼玉県春日部市大字増富字谷際163-1
アドアーズ春日部,埼玉県春日部市中央1-8-15春日部セントラル1-2階
タイトーステーション 所沢,埼玉県所沢市日吉町3-7
セガ所沢,埼玉県所沢市日吉町8-1
ウェアハウス上尾,埼玉県上尾市上尾村1044
ラウンドワン上尾,埼玉県上尾市大字平塚917-1
アピナ上尾,埼玉県上尾市緑丘3-3-11-2 P・A・P・A上尾SC別棟
セガ花園,埼玉県深谷市荒川359
モンテカルロ,埼玉県深谷市西島3-1-2
埼玉レジャーランド川越,埼玉県川越市新富町1-17-4
アミューズランドモナコ川越,埼玉県川越市新富町2-4-1
ゲームシティプラス川越,埼玉県川越市泉町1-1 ウニクス南古谷シネマ棟1F
ゲームシティ川口,埼玉県川口市栄町1-10-5
AM PIA 川口,埼玉県川口市栄町3-1-16 イート川口ビル4F
HOUSTON西川口,埼玉県川口市西川口1-6-3西川口ビル1F
楽市楽座イオンモール川口前川,埼玉県川口市前川1-1-11イオンモール川口前川店3F
セガ川口,埼玉県川口市東領家2-2-10
ソユーゲームフィールド川口,埼玉県川口市並木元町1-79 アリオ川口3F
アミュージアム川口,埼玉県川口市本町2-7-25ミエルかわぐち3F
ウェアハウス草加別館,埼玉県草加市稲荷2-36-33
ラウンドワン草加,埼玉県草加市谷塚上町204番1
ゲームファクトリーマグマ草加,埼玉県草加市氷川町2125-1
ラウンドワン朝霞,埼玉県朝霞市膝折町2-16-10
ラウンドワン入間,埼玉県入間市小谷田3-7-25
セガ入間,埼玉県入間市東藤沢2-18
嵐山ドライブイン,埼玉県比企郡嵐山町大字志賀1822
セガららぽーと富士見,埼玉県富士見市山室1-1313 ららぽーと富士見3F
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸2338
ムー大陸本庄,埼玉県本庄市本町1018
タイトーステーション 和光,埼玉県和光市丸山台1-4-5
アドアーズ和光,埼玉県和光市本町3-5ワコーステーション3 1-3F
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
ラウンドワンわらび,埼玉県蕨市北町5-1-6
タイトーステーション 旭サンモール,千葉県旭市イ-2676-1 サンモール3F
セガ旭,千葉県旭市二字野場3150-1
アピナ印西,千葉県印西市原1-2ビッグホップガーデンモール印西2F
ゲームランド千葉ニュータウン,千葉県印西市中央北3丁目 イオンモール 千葉NTモール棟3F
宝島新浦安,千葉県浦安市入船1-4-1イオン新浦安店4F
ゲームプラザセントラル浦安,千葉県浦安市北栄1-16-15
セガ我孫子,千葉県我孫子市柴崎字天王谷47-1
ラッキー佐倉,千葉県佐倉市井野1475
千葉レジャーランド成東,千葉県山武市姫島111-1
ゲームランドちはら台,千葉県市原市ちはら台西3-4unimoちはら台2F
チャリオット五井,千葉県市原市五井中央西2-1-2
アピナ市原,千葉県市原市更級4丁目2番1号アクロスプラザ市原更級F棟1階
チャリオット辰巳,千葉県市原市市原500-1
ラウンドワン市原,千葉県市原市八幡北町3-5-1
ラウンドワン市川鬼高,千葉県市川市鬼高4-1-3
アミューズメントエース市川,千葉県市川市市川1-9-11サン市川ハイツ1階
本八幡ゲームUNO,千葉県市川市八幡2丁目16ー6八幡ハタビルB1F
タイトーFステーション市川妙典,千葉県市川市妙典4-1-1 イオン市川妙典店2番街2F
スーパービバホーム新習志野2階,千葉県習志野市茜浜1-1-2 スーパービバホーム2F
ラウンドワン習志野,千葉県習志野市芝園1-4-5
MorisiaAmusePark,千葉県習志野市谷津1-16-1モリシア津田沼2F
AM PIA 津田沼,千葉県習志野市津田沼1-2-1 十三ビル地下1階
ゲームランド津田沼,千葉県習志野市津田沼1-23-1イオンモール津田沼2F
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
namco松戸,千葉県松戸市松戸1230-1ピアザ松戸1F
プレビ キテミテマツド,千葉県松戸市松戸1307-1キテミテマツド店内6階ASOBI諸島
セガ松戸,千葉県松戸市日暮1-1-1八柱駅第2ビル2F
プラサカプコン成田,千葉県成田市ウイング土屋24イオン成田SC2F
セガワールド成田,千葉県成田市東町157-5
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
千葉レジャーランド稲毛,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
スポーツウェーブ鉄腕24稲毛長沼,千葉県千葉市稲毛区長沼原町697番地
パレパレ稲毛長沼,千葉県千葉市稲毛区長沼原町731番地25フレスポ稲毛A2棟4
ラッキー西千葉,千葉県千葉市稲毛区弥生町1-15
セガアリーナ蘇我,千葉県千葉市中央区川崎町51-1ハーバーシティ蘇我FW AM棟1F
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
セガ千葉,千葉県千葉市中央区富士見2-4-1
アドアーズ千葉,千葉県千葉市中央区富士見2-4-15第一東和ビル
ラッキー中央・フェリシダ,千葉県千葉市中央区富士見2-8-1
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール1F
namcoイオンモール幕張新都心,千葉県千葉市美浜区豊砂1-1イオングランドモール3F
アミューズメントエース津田沼,千葉県船橋市前原西2-15-1ファシービル
チャリオット船橋,千葉県船橋市藤原5-6-7 2.3階
プレビ ららぽーとTOKYOーBAY,千葉県船橋市浜町2-1-1ららぽーとTOKYOBAY西館3階
セガららぽーとTOKYO-BAY,千葉県船橋市浜町2-1-1北館1F
アドアーズ船橋,千葉県船橋市本町1-31-26セブン船橋B1F~3F
タイトーステーション 船橋,千葉県船橋市本町1-6-1
セガイオンモール銚子,千葉県銚子市三崎町2-2660-1イオンモール銚子2F
タイトーFステーション柏中央,千葉県柏市十余二249-5
ラウンドワンアリオ柏,千葉県柏市大島田1丁目6番地1セブンパークアリオ柏 1070
ゲームゴジラ,千葉県柏市柏1-1-11ファミリかしわB1
ハイテクセガ柏,千葉県柏市柏1-1-11丸井デパート内B1F
柏ガリバー,千葉県柏市柏1-1-11丸井ビルB1F
タイトーステーション 柏,千葉県柏市柏2-3-1フーサワビル
キャッツアイ八千代,千葉県八千代市吉橋1851 ism緑ヶ丘内
ラウンドワン八千代村上,千葉県八千代市村上南1丁目5番地54
ラッキーバッティングドーム八千代,千葉県八千代市大和田新田1088
プラサカプコン富津,千葉県富津市青木1-5-1イオンモール富津内ゲームコーナー
アミュージアム茂原,千葉県茂原市高師1619-1
GAME SQUARE茂原,千葉県茂原市六ツ野八貫野2785-1ライフガーデン茂原内
ソユーゲームフィールド木更津,千葉県木更津市築地1-4イオンモール木更津2F
イスカンダル木更津,千葉県木更津市潮見4-1-2
千葉レジャーランド野田,千葉県野田市吉春776-1
YAZワールド野田七光台,千葉県野田市七光台4-2
namco流山おおたかの森S・C,千葉県流山市おおたかの森南1-5-1おおたかの森S・C3F
ウェアハウス南流山,千葉県流山市南流山4-16-6
アドアーズ新小岩,東京都葛飾区新小岩1-44-4B1-B3F
○×△□(ラくトス),東京都葛飾区新小岩1-44-6
ハイテクランドセガ立石,東京都葛飾区立石7-2-1
ハイテクセガ葛西,東京都江戸川区西葛西5-1-14第一保志ビル
タイトーFステーション西葛西,東京都江戸川区西葛西6-6-10
セガ船堀,東京都江戸川区船堀1-6-11
ドットコム葛西,東京都江戸川区中葛西3-35-5
セガワールド葛西,東京都江戸川区東葛西9-3-3イトーヨーカドー3F
アムネット小岩,東京都江戸川区南小岩6-31-3石井ビル1F
アドアーズ亀戸,東京都江東区亀戸5-2-6サンエービル1-4階
アドアーズ南砂町SUNAMO,東京都江東区新砂3-4-20
ラウンドワンダイバーシティ東京プラザ,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
ラウンドワン南砂,東京都江東区南砂6-7-15トピレックプラザ4F
アドアーズ門前仲町,東京都江東区富岡1-5-5和田屋ビル1-3階
ハローズガーデン北砂,東京都江東区北砂2-17-1アリオ北砂店3F
セガ有明ガーデン,東京都江東区有明2-1-8　​有明ガーデン5F　501区画　
タイトーステーション国分寺,東京都国分寺市本町3-5-11
アドアーズ渋谷,東京都渋谷区宇田川町13-11KN渋谷1ビル
ハイテクランドセガ渋谷,東京都渋谷区渋谷1-14-14
タイトーステーション 渋谷,東京都渋谷区渋谷1-24-12渋谷東映プラザ
アミュージアム昭島,東京都昭島市田中町573-1-2
新宿プレイランドカーニバル,東京都新宿区歌舞伎町1-20-1ヒューマックスパビリオン
セガ新宿歌舞伎町,東京都新宿区歌舞伎町1-21-1第二東亜会館1F・2F
タイトーBIGBOX高田馬場,東京都新宿区高田馬場1-35-3 BIGBOX6F
新宿スポーツランド本館,東京都新宿区新宿3-22-12
タイトーステーション新宿東口,東京都新宿区新宿3-22-7 指田ビル
タイトー新宿南口ゲームワールド,東京都新宿区新宿3-35-8
セガ神楽坂,東京都新宿区神楽坂2-11第2カグラヒルズ1F
クラブセガ新宿西口,東京都新宿区西新宿1-12-5
タイトーステーション新宿西口,東京都新宿区西新宿1-13-4
ゲームスポット21新宿西口,東京都新宿区西新宿1-15-2
セガ新大久保,東京都新宿区百人町2丁目10-1
ゲームスタジオキューブ高円寺,東京都杉並区高円寺南4-26-12-B1
アピナ荻窪,東京都杉並区上荻1-13-10ハクサンビル
タイトーステーション 祖師谷大蔵,東京都世田谷区砧8-10-1プラッツ砧1F
世田谷オークラボウル,東京都世田谷区桜3-24-1
エムエムランド,東京都世田谷区北沢2-3-6
ドラマ瑞穂,東京都西多摩郡瑞穂町武蔵382-1
ユーズランド日の出,東京都西多摩郡日の出町大字平井237-3イオンモール日の出3F
Hey,東京都千代田区外神田1-10-5廣瀬本社ビル1階~4階
セガ秋葉原1号館,東京都千代田区外神田1-10-9
セガ秋葉原3号館,東京都千代田区外神田1-11-11外神田1丁目ビルディング
セガ秋葉原2号館,東京都千代田区外神田1-15-1
セガ秋葉原4号館,東京都千代田区外神田1-15-9
東京レジャーランド秋葉原,東京都千代田区外神田1-9-5
タイトーステーション 秋葉原,東京都千代田区外神田4-2-2貴三ビル
東京レジャーランド秋葉原2号,東京都千代田区外神田4-3-3ミナミビル6F・7F
タイトーステーション綾瀬,東京都足立区綾瀬4-9-29ホーキョボナービル
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
セガ竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
ウェアハウス入谷,東京都足立区入谷7-8-11
ウェアハウス保木間,東京都足立区保木間1-1-19
アミューズメントスペースカプセル,東京都多摩市永山1-3-4ヒューマックスパビリオン永山B1-2F
タイトーステーション 多摩センター,東京都多摩市落合1-45-1丘の上パティオ内
タイトーステーション 上野アメ横,東京都台東区上野4-10-17
アドアーズ上野アメ横,東京都台東区上野4-9-14上野K.KビルB1-4階
タイトーステーション 浅草,東京都台東区浅草1-27-5ROX DOME1F
セガワールド大森,東京都大田区山王2-1-5大森駅ララビル2F
AM PIA 大森,東京都大田区山王2-2-15
