『艦これアーケード』オリジナルグッズキャンペーン第伍弾 参加店舗一覧,2024.6.10,2024年6月13日(木) ～ 2024年8月4日(日)
"山形県","ＧｉＧＯ天童","山形県天童市南町1-5-26"
"山形県","ＧｉＧＯ新庄","山形県新庄市金沢１０６８"
"山形県","ＧｉＧＯ北山形","山形県山形市北町１−３−２０"
"福島県","ＧｉＧＯ福島","福島県福島市本内中井１−２"
"福島県","ラウンドワン福島店","福島県福島市太田町14-18"
"福島県","ＧｉＧＯ福島南","福島県福島市黒岩字中島7-2"
"福島県","ＧｉＧＯ白河","福島県白河市新高山１−１　メガステージ白河内"
"福島県","ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店","福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内"
"福島県","ＧｉＧＯ日和田","福島県郡山市日和田町字西中島７−１"
"福島県","ｎａｍｃｏイオンタウン郡山店","福島県郡山市松木町２−８８イオンタウン郡山内"
"福島県","ラウンドワン郡山店","福島県郡山市向河原町４−５５"
"福島県","タイトーＦ郡山オリエントパーク店","福島県郡山市安積町荒井字大久保３５−１"
"福島県","ＧｉＧＯ会津若松","福島県会津若松市町北町上荒久田字宮下１４２"
"福島県","ＧｉＧＯ勿来","福島県いわき市勿来町四沢字鍵田１３"
"福島県","ＧｉＧＯ小名浜","福島県いわき市小名浜林城字塚前１８−１"
"茨城県","ＧｉＧＯ龍ケ崎","茨城県龍ケ崎市藤ケ丘４−２−８"
"茨城県","ゲームメガ日立店","茨城県日立市東多賀町５−１０−１０"
"茨城県","ＧｉＧＯ日立","茨城県日立市田尻町３−２６−１"
"茨城県","ピンクパンサー土浦店","茨城県土浦市木田余４５８５−３"
"茨城県","ゲームパニックつくば","茨城県土浦市中村東1-1-1サンタスワールド内"
"茨城県","フリスポ下館","茨城県筑西市神分472"
"茨城県","ＧｉＧＯ石岡","茨城県石岡市東大橋中峯１９７６−１"
"茨城県","ユーズランド水戸内原店","茨城県水戸市内原２−１イオンモール水戸内原２Ｆ"
"茨城県","ＧｉＧＯ水戸南","茨城県水戸市千波町２０１７−１"
"茨城県","ピンクパンサー水戸けやき台店","茨城県水戸市酒門町3276-1"
"茨城県","ＧｉＧＯ水戸","茨城県水戸市宮町１−７−４４コムボックス３１０"
"茨城県","ピンクパンサー水戸赤塚店","茨城県水戸市河和田1-1"
"茨城県","ＧｉＧＯ神栖","茨城県神栖市神栖１ー８−１"
"茨城県","あそびのひろば　鹿嶋店","茨城県鹿嶋市宮中２９０−１ショッピングセンターチェリオ１階"
"茨城県","ＧＡＭＥＰＡＤＤＯＣＫ＋１","茨城県古河市小堤１９１６−１"
"茨城県","ピンクパンサー下妻店","茨城県下妻市小島884-10"
"茨城県","ＧｉＧＯ霞ヶ浦","茨城県稲敷市西代１４７３−１"
"茨城県","アミューズビバ","茨城県ひたちなか市東大島２−１１−１１"
"茨城県","ＧｉＧＯひたちなか","茨城県ひたちなか市田中後４０−２"
"茨城県","ＧｉＧＯデイズタウンつくば","茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ"
"茨城県","ゲームメガつくば店","茨城県つくば市小野崎１７７−２"
"茨城県","ゲームメガみらい平店","茨城県つくばみらい市陽光台１−１４−１"
"栃木県","ＧｉＧＯ日光","栃木県日光市芹沼１４４８−１"
"栃木県","ＧｉＧＯ西那須野","栃木県那須塩原市南郷屋２−１０６−２７"
"栃木県","大田原スポーツランド","栃木県那須塩原市一区町１０４−６０"
"栃木県","ドラマ足利店","栃木県足利市朝倉町244-1"
"栃木県","ＧｉＧＯ小山","栃木県小山市東城南１−１−１８"
"栃木県","タイトーＦステーション小山店","栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟"
"栃木県","アピナ小山店","栃木県小山市駅南町４−２７−１８"
"栃木県","ｎａｍｃｏ宇都宮店","栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル"
"栃木県","シーサイドリゾートアミューズメントパーク","栃木県宇都宮市睦町７−３"
"栃木県","ＧｉＧＯ宇都宮","栃木県宇都宮市東宿郷５−１−７"
"栃木県","ラウンドワン宇都宮店","栃木県宇都宮市江曽島町２０７２−１"
"栃木県","INTERPARK+1宇都宮","栃木県宇都宮市インターパーク６−５−１"
"群馬県","群馬レジャーランド藤岡店","群馬県藤岡市中2002-1"
"群馬県","アピナ太田店","群馬県太田市内ケ島町９０７−１"
"群馬県","ユーズランド太田店","群馬県太田市石原町８１番地イオンモール太田２Ｆ"
"群馬県","ＧｉＧＯ太田","群馬県太田市西矢島町５７５−１"
"群馬県","ラウンドワン前橋店","群馬県前橋市天川大島町１１０１−１"
"群馬県","マトリクス前橋","群馬県前橋市小相木町５５８−１"
"群馬県","ＧｉＧＯ沼田","群馬県沼田市下久屋町１１００−１"
"群馬県","群馬レジャーランド渋川店","群馬県渋川市八木原1364"
"群馬県","ユーズランド高崎店","群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ"
"群馬県","群馬レジャーランド高崎駅東口店","群馬県高崎市江木町３３３−１高崎ＥＸビル"
"群馬県","ＧｉＧＯ館林","群馬県館林市小桑原町９４９−１"
"群馬県","群馬レジャーランド伊勢崎店","群馬県伊勢崎市連取町3066-1"
"群馬県","ＧｉＧＯスマーク伊勢崎","群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画"
"群馬県","インターワールド伊勢崎店","群馬県伊勢崎市宮子町3425-4"
"埼玉県","ラウンドワンわらび店","埼玉県蕨市北町５−１−６"
"埼玉県","タイトーステーション和光店","埼玉県和光市丸山台１−４−５"
"埼玉県","ＧｉＧＯ入間","埼玉県入間市東藤沢２−１８"
"埼玉県","ラウンドワン入間店","埼玉県入間市小谷田３−７−２５"
"埼玉県","ラウンドワン朝霞店","埼玉県朝霞市膝折町２−１６−１０"
"埼玉県","ラウンドワン草加店","埼玉県草加市谷塚上町２０４番１"
"埼玉県","ウェアハウス草加店別館","埼玉県草加市稲荷２−３６−３３"
"埼玉県","ＧｉＧＯ川口","埼玉県川口市東領家２−２−１０"
"埼玉県","シルクハット川口","埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ"
"埼玉県","アミューズランドモナコ川越店","埼玉県川越市新富町2-4-1"
"埼玉県","タイトーＦステーションクレアモール川越店","埼玉県川越市新富町２−１−１３"
"埼玉県","ＧｉＧＯ花園","埼玉県深谷市荒川３５９"
"埼玉県","ウェアハウス上尾店","埼玉県上尾市二ツ宮１０４４"
"埼玉県","ラウンドワン上尾店","埼玉県上尾市大字平塚９１７−１"
"埼玉県","ＧｉＧＯ所沢","埼玉県所沢市日吉町８−１"
"埼玉県","タイトーステーション所沢店","埼玉県所沢市日吉町３−７"
"埼玉県","ラウンドワン所沢店","埼玉県所沢市東町５丁目２２　６階"
"埼玉県","キャロム所沢店","埼玉県所沢市下安松969-1"
"埼玉県","ユーズランド春日部店","埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ"
"埼玉県","ラウンドワンさいたま・上里店","埼玉県児玉郡上里町大字金久保３９４−１"
"埼玉県","ラウンドワンららぽーと新三郷店","埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番"
"埼玉県","ゲームパニック三郷","埼玉県三郷市ピアラシティ1-1-200"
"埼玉県","ラウンドワンさいたま・鴻巣店","埼玉県鴻巣市箕田３１６３−７"
"埼玉県","インターワールド幸手","埼玉県幸手市上高野２１４２‐１"
"埼玉県","ギガステーション戸田店","埼玉県戸田市大字美女木943-7"
"埼玉県","ＧｉＧＯ籠原","埼玉県熊谷市美土里町１−１−１６９"
"埼玉県","ｎａｍｃｏ熊谷店","埼玉県熊谷市銀座2-97CARPA1階"
"埼玉県","ラウンドワンさいたま・栗橋店","埼玉県久喜市小右衛門１９２−１"
"埼玉県","アミューズメントＦＵＮＦＵＮ越谷店","埼玉県越谷市南荻島２７７０−１"
"埼玉県","ＧｉＧＯ南越谷ラクーン","埼玉県越谷市南越谷１丁目１５番１号南越谷ラクーン２Ｆ"
"埼玉県","ユーズランド越谷店","埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F"
"埼玉県","プラサカプコン羽生店","埼玉県羽生市川崎２−２８１−３イオンモール羽生２階"
"埼玉県","アミューズメントフィールドバイヨン","埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ"
"埼玉県","ＧｉＧＯイオンモール与野","埼玉県さいたま市中央区本町西５ー２−９イオンモール与野３Ｆ"
"埼玉県","タイトーステーション大宮店","埼玉県さいたま市大宮区大門町１−１"
"埼玉県","ラウンドワン大宮店","埼玉県さいたま市大宮区宮町４−９０−７"
"埼玉県","ウェアハウス三橋店","埼玉県さいたま市西区三橋６−９５５−１"
"埼玉県","アミューズメントクラブ浦和","埼玉県さいたま市浦和区仲町1-10-7"
"千葉県","ウェアハウス南流山店","千葉県流山市南流山４−１６−６"
"千葉県","千葉レジャーランド野田店","千葉県野田市吉春776-1"
"千葉県","イスカンダル木更津店","千葉県木更津市潮見４−１−２"
"千葉県","ラッキーバッティングドーム八千代店","千葉県八千代市大和田新田1088"
"千葉県","柏ガリバー","千葉県柏市柏１−１−１１ファミリかしわ地下"
"千葉県","ラウンドワンアリオ柏店","千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０"
"千葉県","タイトーステーション船橋店","千葉県船橋市本町１−６−１"
"千葉県","アミューズメントエース津田沼","千葉県船橋市前原西２−１５−１ファシービル"
"千葉県","ＧｉＧＯ幕張","千葉県千葉市美浜区ひび野１−８メッセ・アミューズ・モール１Ｆ"
"千葉県","ラッキー中央店・フェリシダ","千葉県千葉市中央区富士見2-8-1"
"千葉県","ＧｉＧＯ千葉","千葉県千葉市中央区富士見２−４−１"
"千葉県","スポーツウェーブ鉄腕24","千葉県千葉市中央区浜野町1025-59"
"千葉県","ＧｉＧＯフェスティバルウォーク蘇我","千葉県千葉市中央区川崎町５１−１ハーバーシティ蘇我ＦＷ　１Ｆ"
"千葉県","パレパレ稲毛長沼店","千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４"
"千葉県","スポーツウェーブ鉄腕24稲毛長沼店","千葉県千葉市稲毛区長沼原町697番地"
"千葉県","ＧｉＧＯ稲毛オーツーパーク","千葉県千葉市稲毛区園生町３８０−１"
"千葉県","ＧｉＧＯ八柱","千葉県松戸市日暮１−１−１八柱駅第２ビル２Ｆ"
"千葉県","ｎａｍｃｏ松戸店","千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ"
"千葉県","シルクハット津田沼","千葉県習志野市津田沼１−２−１十三ビル地下１階"
"千葉県","ラウンドワン習志野店","千葉県習志野市芝園１−４−５"
"千葉県","タイトーＦステーション市川妙典店","千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F"
"千葉県","本八幡ゲームUNO","千葉県市川市八幡２丁目１６ー６八幡ハタビルB1F"
"千葉県","ラウンドワン市川鬼高店","千葉県市川市鬼高４−１−３"
"千葉県","ラウンドワン市原店","千葉県市原市八幡北町３−５−１"
"千葉県","チャリオット辰巳店","千葉県市原市市原500-1"
"千葉県","チャリオット五井店","千葉県市原市五井中央西２−１−２"
"千葉県","千葉レジャーランド成東店","千葉県山武市姫島111-1"
"千葉県","ラッキー佐倉店","千葉県佐倉市井野1475"
"千葉県","フリスポ佐原","千葉県香取市佐原イ−４２００"
"千葉県","ＧｉＧＯ我孫子","千葉県我孫子市柴崎字天王谷４７−１"
"千葉県","ＧｉＧＯイオン新浦安ショッピングセンター","千葉県浦安市入船１−４−１イオン新浦安ＳＣ４Ｆ"
"千葉県","ＧｉＧＯ旭","千葉県旭市二字野場３１５０−１"
"東京都","ミラクルイン中村橋","東京都練馬区貫井１−１−２ＹＫビル２Ｆ"
"東京都","タイトーステーション立川北口店","東京都立川市曙町２−４−５クリサス立川２・３Ｆ"
"東京都","ＣＬＵＢ　ＥＸＡ","東京都立川市羽衣町２丁目７−３小川ビル１階"
"東京都","ＧｉＧＯ自由が丘","東京都目黒区自由が丘２ー１０ー９"
"東京都","タイトーＦステーションオリナス錦糸町店","東京都墨田区太平4-1-2オリナスモール地下1F"
"東京都","ＧｉＧＯ赤羽","東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１"
"東京都","ＧｉＧＯ赤羽駅前","東京都北区赤羽１−２−４"
"東京都","ｎａｍｃｏ王子サンスクエア店","東京都北区王子１−４−１サンスクエア２階"
"東京都","ＧｉＧＯ総本店","東京都豊島区東池袋一丁目１３番６号"
"東京都","池袋ゲーセンミカドINランブルプラザ","東京都豊島区東池袋１−４２−１９"
"東京都","ラウンドワン池袋店","東京都豊島区東池袋１−１４−１"
"東京都","ｎａｍｃｏ巣鴨店","東京都豊島区巣鴨１−１５−１宮田ビルB2F"
"東京都","タイトーステーション池袋西口店","東京都豊島区西池袋１−１５−９第一西池ビル"
"東京都","ＧｉＧＯ福生","東京都福生市福生１０７６−１"
"東京都","ラウンドワン吉祥寺店","東京都武蔵野市吉祥寺本町1-11-22"
"東京都","プラサカプコン吉祥寺店","東京都武蔵野市吉祥寺本町１−１０−１いなりやビル地下１階"
"東京都","ラウンドワン武蔵村山店","東京都武蔵村山市伊奈平３−１−１"
"東京都","ラウンドワン府中本町駅前","東京都府中市本町１−１３−３カネタビル"
"東京都","ＧｉＧＯ府中","東京都府中市西原町１−６−２フレスポ府中１Ｆ・２Ｆ"
"東京都","ゲームサファリ大山","東京都板橋区大山東町60-10やすだ大山駅前店2F"
"東京都","ラウンドワン板橋店","東京都板橋区相生町１６−１３"
"東京都","ドラマ八王子高倉店","東京都八王子市高倉町55-4"
"東京都","シルクハット八王子","東京都八王子市旭町２−５　八王子ツインタワービル３階"
"東京都","ラウンドワン町田店","東京都町田市森野１−１３−１４"
"東京都","タイトーステーション町田店","東京都町田市原町田６−２１−２３　松山ビル１階"
"東京都","ＧｉＧＯ町田","東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１"
"東京都","ＧｉＧＯ池上","東京都大田区池上６−２−３松山ビル２Ｆ"
"東京都","シルクハット蒲田西口","東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階"
"東京都","ＧｉＧＯ大森","東京都大田区山王２−１−５大森駅ララビル２Ｆ"
"東京都","タイトーステーション上野御徒町店","東京都台東区上野４−６−９湯島商事ビル"
"東京都","Amusement&amp;GameMAGHREB","東京都多摩市落合１−４１−１マグレブウェスト１階・２階"
"東京都","ＧｉＧＯ竹の塚","東京都足立区竹の塚６−８−６ピーくんＰｌａｚａ−ｂ"
"東京都","東京レジャーランド秋葉原2号店","東京都千代田区外神田4-3-3ミナミビル6F・7F"
"東京都","東京レジャーランド秋葉原店","東京都千代田区外神田1-9-5"
"東京都","ゲームパニック秋葉原","東京都千代田区外神田1-13-1　Akihabaraex"
"東京都","ＧｉＧＯ秋葉原３号館１","東京都千代田区外神田１−１１−１１外神田１丁目ビルディング"
"東京都","Ｈｅｙ","東京都千代田区外神田１−１０−５廣瀬本社ビル１階〜４階"
"東京都","ＧｉＧＯ秋葉原１号館","東京都千代田区外神田１−１０ー９"
"東京都","キャロム青梅店","東京都青梅市千ケ瀬町4-326-1"
"東京都","ユーズランド日の出店","東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ"
"東京都","ドラマ瑞穂店","東京都西多摩郡瑞穂町武蔵382-1"
"東京都","ＧｉＧＯ新宿西口","東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ"
"東京都","ＧｉＧＯ神楽坂","東京都新宿区神楽坂２−１１第２カグラヒルズ１Ｆ"
"東京都","新宿スポーツランド本館","東京都新宿区新宿3-22-12"
"東京都","タイトーＢＩＧＢＯＸ高田馬場店","東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ"
"東京都","ウェアハウス一橋学園店","東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ"
"東京都","ＧｉＧＯ渋谷宮益坂","東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階"
"東京都","アミューズメントスペースASO：VIBA！","東京都渋谷区恵比寿1-10-5三恵エビスビル2F"
"東京都","タイトーステーション国分寺店","東京都国分寺市本町３−５−１１"
"東京都","ラウンドワン南砂店","東京都江東区南砂６−７−１５トピレックプラザ４Ｆ"
"東京都","ラウンドワンダイバーシティ東京プラザ店","東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000"
"東京都","ＧｉＧＯ船堀","東京都江戸川区船堀１ー６ー１１"
"東京都","ＧｉＧＯ西葛西","東京都江戸川区西葛西５−１−１４第一保志ビル"
"東京都","東京レジャーランド亀有店","東京都葛飾区亀有3-21-2"
"神奈川県","ラウンドワンららぽーと湘南平塚店","神奈川県平塚市天沼１０−１３階３３２８０番"
"神奈川県","ドラマ藤沢店","神奈川県藤沢市本藤沢5-6-8"
"神奈川県","タイトーステーション藤沢店","神奈川県藤沢市南藤沢２１−１"
"神奈川県","ゲームインファンファン藤沢店","神奈川県藤沢市鵠沼石上１−３−８"
"神奈川県","アピナ橋本店","神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階"
"神奈川県","ＧｉＧＯ相模大野","神奈川県相模原市南区相模大野３−１３−２東和ビル２Ｆ・３Ｆ"
"神奈川県","ムトス相模原店","神奈川県相模原市中央区中央２−１−５"
"神奈川県","タイトーFステーション向ヶ丘遊園店","神奈川県川崎市多摩区登戸2718-1"
"神奈川県","ラウンドワン川崎大師店","神奈川県川崎市川崎区殿町１−５−１"
"神奈川県","シルクハット川崎ダイス","神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階"
"神奈川県","シルクハット川崎モアーズ","神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階"
"神奈川県","ラウンドワン高津店","神奈川県川崎市高津区二子４−８−１"
"神奈川県","イミグランデ溝口店","神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル"
"神奈川県","タイトーステーション溝の口","神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階"
"神奈川県","AmusementWorldMetropolis小田原店","神奈川県小田原市前川字相坪２１９−４"
"神奈川県","タイトーステーション小田原店","神奈川県小田原市栄町１−３−１２"
"神奈川県","ＧｉＧＯ本厚木","神奈川県厚木市中町４−１５−９"
"神奈川県","シルクハット本厚木","神奈川県厚木市中町３−４−２２第二会田ビル２階"
"神奈川県","神奈川レジャーランド厚木店","神奈川県厚木市戸室5-31-1"
"神奈川県","シルクハット大船","神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ"
"神奈川県","ＧｉＧＯ海老名","神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階"
"神奈川県","ドラマ港北インター店","神奈川県横浜市都筑区東方町321-6"
"神奈川県","ＧｉＧＯセンター南","神奈川県横浜市都筑区茅ヶ崎中央３−２５"
"神奈川県","シルクハット伊勢佐木町","神奈川県横浜市中区伊勢佐木町３—９６日活会館３階"
"神奈川県","ラウンドワン横浜駅西口店","神奈川県横浜市西区南幸２−８−１６"
"神奈川県","タイトーステーション横浜西口五番街店","神奈川県横浜市西区南幸１−１２ー９"
"神奈川県","イミグランデ日吉店","神奈川県横浜市港北区日吉２−２−４"
"神奈川県","ラウンドワン横浜綱島店","神奈川県横浜市港北区樽町２−６−４０Ｔ-PLATZ内"
"神奈川県","ＧｉＧＯ綱島","神奈川県横浜市港北区綱島西２−６−２９"
"神奈川県","タイトーステーション戸塚西口店","神奈川県横浜市戸塚区戸塚町４０２３"
"神奈川県","ＧｉＧＯ新杉田","神奈川県横浜市磯子区杉田１−１−１らびすた新杉田２Ｆ"
"神奈川県","プラサカプコン横須賀店","神奈川県横須賀市若松町2-30モアーズシティ4F"
"新潟県","アピナ長岡店","新潟県長岡市堺東町２２"
"新潟県","カプコサーカス新潟東店","新潟県新潟市東区大形本町３−１−２　ジャスコシティ新潟東"
"新潟県","ラウンドワン新潟店","新潟県新潟市中央区美咲町２−１−３８"
"新潟県","ｎａｍｃｏ新潟店","新潟県新潟市中央区南笹口１−１−１　ひもろぎビル２Ｆ"
"新潟県","タイトーＦステーション上越店","新潟県上越市富岡3524J-MAXシアター内1F"
"新潟県","上越レジャーランボウル","新潟県上越市下門前薬島827-2"
"新潟県","メジャーロード24","新潟県見附市今町4-20-568-1"
"富山県","アピナ富山南店","富山県富山市堀川町３５５−３　マイプラザ内"
"富山県","アピナ富山豊田店","富山県富山市豊田町２丁目１２−６６"
"富山県","トヤマレジャーランド呉羽店","富山県富山市高木字貝塚2054"
"富山県","ゲームスポット２０７","富山県高岡市鐘紡町１６５５−３"
"富山県","ユーズランド高岡店","富山県高岡市下伏間江３８３イオンモール高岡２Ｆ"
"富山県","サービスエリアIN高岡","富山県高岡市下石瀬857-1"
"石川県","アピナ野々市店","石川県野々市市白山町４−１イオンタウン野々市店内"
"石川県","金沢メトロポリス","石川県金沢市無量寺４−１２１−１"
"石川県","バイパスレジャーランド藤江本館","石川県金沢市藤江南2-41"
"石川県","バイパスレジャーランド藤江新館","石川県金沢市藤江南2-105"
"石川県","ＧｉＧＯイオンタウン金沢示野","石川県金沢市戸板西２−１"
"石川県","ラウンドワン金沢店","石川県金沢市横川6-120-1"
"石川県","バイパスレジャーランド加賀店","石川県加賀市箱宮町ヲ1-1"
"福井県","フクイレジャーランドワイプラザ店","福井県福井市新保北1-303　ヤスサキワイプラザＢ棟2Ｆ"
"福井県","ＧｉＧＯ福井","福井県福井市丸山１−４１０"
"福井県","福井レジャーランド板垣店","福井県福井市下馬３−１０２"
"福井県","ＪＯＹＬＡＮＤ敦賀店","福井県敦賀市木崎４０ー１２"
"福井県","ＧｉＧＯ武生","福井県越前市新町３−１３−４"
"山梨県","プラサカプコン甲府店","山梨県中巨摩郡昭和町西条字北河原３７１７"
"山梨県","ゲームパニック甲府","山梨県甲府市国母5-20-24"
"長野県","アピナ飯田店","長野県飯田市座光寺３７２８−１"
"長野県","ラウンドワン長野店","長野県長野市大字東和田８２７番地６"
"長野県","アピナ長野村山店","長野県長野市村山５０２−１"
"長野県","ＧｉＧＯ上田","長野県上田市大字上田１８４７−１"
"長野県","アピナ上田店","長野県上田市秋和３５９−１"
"長野県","アピナ松本店","長野県松本市双葉１９−１０"
"長野県","アピナ佐久インター店","長野県佐久市岩村田北１−１３−１"
"長野県","ＨａｐｉｐｉＬａｎｄ佐久","長野県佐久市岩村田６-２佐久ステーションパーク内"
"長野県","ＧｉＧＯ岡谷","長野県岡谷市塚間町２−１−２１"
"長野県","アピナ塩尻店","長野県塩尻市広丘野村１７９４−１"
"長野県","アピナ伊那店","長野県伊那市大字西町５０９３"
"長野県","ＧｉＧＯ豊科","長野県安曇野市豊科南穂高１１１５"
"岐阜県","ラウンドワンモレラ岐阜店","岐阜県本巣市三橋１１００"
"岐阜県","コミ丸アリババ大垣店","岐阜県大垣市池尻町９４０−１"
"岐阜県","大垣メトロポリス","岐阜県大垣市三塚町西沼５２３−１"
