ken,mise,basyo
"秋田県","ゲームフィールド十文字店","秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内"
"秋田県","ソユーゲームフィールド大館店","秋田県大館市御成町3丁目7番58号 いとく大館ショッピングセンター3F"
"山形県","GiGO米沢","山形県米沢市大字花沢字タナコ原177"
"山形県","GiGO北山形","山形県山形市北町1-3-20"
"山形県","アピナ鶴岡店","山形県鶴岡市文下字広野１−１"
"山形県","スーパーノバ天童店","山形県天童市南町1-5-26"
"山形県","スタジオプリモ山形店","山形県山形市城南町１−１−１　霞城セントラル２Ｆ"
"山形県","ソユーゲームフィールド三川店","山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ"
"山形県","ソユーゲームフィールド天童店","山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ"
"福島県","GiGO日和田","福島県郡山市日和田町字西中島7-1"
"福島県","GiGO福島","福島県福島市本内字中井1-2"
"福島県","GiGO小名浜","福島県いわき市小名浜林城字塚前18-1"
"福島県","GiGO勿来","福島県いわき市勿来町四沢字鍵田13"
"福島県","ラウンドワン福島店","福島県福島市太田町１４－１８"
"福島県","ラウンドワン郡山店","福島県郡山市向河原町４－５５"
"福島県","嶺宝スポーツセンター","福島県いわき市小名浜住吉折返２−２"
"福島県","スーパーノバ福島","福島県福島市黒岩字中島7-2"
"福島県","スーパーノバ会津インター店","福島県会津若松市町北町上荒久田字宮下１４２"
"福島県","タイトーＦステーション郡山オリエントパーク店","福島県郡山市安積町荒井字大久保３５−１"
"福島県","ｎａｍｃｏイオンタウン郡山店","福島県郡山市松木町２−８８イオンタウン郡山内"
"福島県","ソユーエンターテイメントスタジオ須賀川店","福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内"
"福島県","ソユーゲームフィールドいわき小名浜店","福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ"
"福島県","THE 3RD PLANET ピボット福島店","福島県福島市栄町1-1 パワーシティーピボット内"
"茨城県","GiGO日立","茨城県日立市田尻町3-26-1"
"茨城県","GiGO龍ヶ崎","茨城県龍ケ崎市藤ケ丘4-2-8"
"茨城県","GiGO霞ヶ浦","茨城県稲敷市西代1473-1"
"茨城県","GiGO水戸","茨城県水戸市宮町1-7-44 コムボックス310"
"茨城県","GiGO石岡","茨城県石岡市東大橋中峯1976-1"
"茨城県","GiGO水戸南","茨城県水戸市千波町2017-1　1F"
"茨城県","AMジャムジャムつくば","茨城県つくば市竹園1-9-2デイズタウンつくばB1F"
"茨城県","ＧＡＭＥ ＰＡＤＤＯＣＫ＋１古河店","茨城県古河市小堤１９１６−１"
"茨城県","アミューズビバ","茨城県ひたちなか市東大島２−１１−１１"
"茨城県","スタジオプリモマイム水戸店","茨城県水戸市宮町１−２−４マイムビル１F"
"茨城県","ピンクパンサー下妻店","茨城県下妻市小島884-10"
"茨城県","ピンクパンサー水戸赤塚店","茨城県水戸市河和田1-1"
"茨城県","ゲームメガみらい平店","茨城県つくばみらい市陽光台1-14-1"
"茨城県","ピンクパンサー日立店","茨城県日立市東多賀町5-10-10"
"茨城県","ピンクパンサー水戸けやき台店","茨城県水戸市酒門町3276-1"
"茨城県","ピンクパンサー土浦店","茨城県土浦市木田余４５８５−３"
"茨城県","ゲームメガつくば店","茨城県つくば市小野崎１７７−２"
"茨城県","ユーズランド水戸内原店","茨城県水戸市内原２−１イオンモール水戸内原２Ｆ"
"茨城県","ゲームパニックつくば店","茨城県土浦市中村東1-1-1サンタスワールド内"
"栃木県","GiGO西那須野","栃木県那須塩原市南郷屋2-106-27"
"栃木県","GiGO小山","栃木県小山市東城南1-1-18"
"栃木県","GiGO日光","栃木県日光市芹沼1448-1"
"栃木県","セガワールド宇都宮","栃木県宇都宮市東宿郷5-1-7"
"栃木県","ラウンドワン宇都宮店","栃木県宇都宮市江曽島町２０７２－１"
"栃木県","大田原スポーツランド","栃木県那須塩原市一区町１０４−６０"
"栃木県","INTER PARK+1宇都宮店","栃木県宇都宮市インターパーク６−５−１"
"栃木県","スタジオプリモ宇都宮店","栃木県宇都宮市曲師町2-2宇都宮フェスタ2F"
"栃木県","プラボ宇都宮店","栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル"
"栃木県","ｎａｍｃｏフェドラＰ＆Ｄ佐野店","栃木県佐野市高萩町１３４０"
"栃木県","ドラマ足利店","栃木県足利市朝倉町244-1"
"栃木県","タイトーＦステーション小山店","栃木県小山市喜沢1475-52　おやまゆうえんハーヴェストウォーク内"
"栃木県","タイトーFステーション　トナリエ宇都宮","栃木県宇都宮市駅前通り１丁目４番６号ララスクエアB1F"
"栃木県","シーサイドリゾートアミューズメントパーク","栃木県宇都宮市睦町７−３"
"群馬県","GiGO館林","群馬県館林市小桑原町949-1"
"群馬県","GiGOスマーク伊勢崎","群馬県伊勢崎市西小保方町368 スマーク伊勢崎3F 302区画"
"群馬県","ラウンドワン前橋店","群馬県前橋市天川大島町１１０１－１"
"群馬県","ゲームパークＭ１","群馬県前橋市国領町２−１３−６"
"群馬県","インターワールド伊勢崎店","群馬県伊勢崎市宮子町3425-4"
"群馬県","群馬レジャーランド伊勢崎店","群馬県伊勢崎市連取町3066-1"
"群馬県","群馬レジャーランド高崎駅東口店","群馬県高崎市江木町３３３−１高崎ＥＸビル2階"
"群馬県","群馬レジャーランド藤岡店","群馬県藤岡市中2002-1　ピット100　3階"
"群馬県","群馬レジャーランド渋川店","群馬県渋川市八木原1364"
"群馬県","アピナ太田店","群馬県太田市内ケ島町９０７−１"
"群馬県","マトリクス前橋","群馬県前橋市小相木町５５８−１"
"群馬県","THE 3RD PLANET 高崎店","群馬県高崎市下和田町5-3-8 メディアメガ高崎内"
"群馬県","ユーズランド太田店","群馬県太田市石原町８１番地イオンモール太田２Ｆ"
"群馬県","ユーズランド高崎店","群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ"
"埼玉県","GiGO籠原","埼玉県熊谷市美土里町 1-169"
"埼玉県","GiGO川口","埼玉県川口市東領家 2-2-10"
"埼玉県","GiGOイオンモール与野","埼玉県さいたま市中央区本町西5-2-9 イオン与野ショッピングセンター3F"
"埼玉県","GiGO南越谷ラクーン","埼玉県越谷市南越谷1-15-1 ラクーン南越谷2F"
"埼玉県","GiGO所沢","埼玉県所沢市日吉町 8-1"
"埼玉県","GiGO入間","埼玉県入間市東藤沢 2-18"
"埼玉県","GiGO花園","埼玉県深谷市荒川359"
"埼玉県","ラウンドワン大宮店","埼玉県さいたま市大宮区宮町４－９０－７"
"埼玉県","ラウンドワンわらび店","埼玉県蕨市北町５－１－６"
"埼玉県","ラウンドワン朝霞店","埼玉県朝霞市膝折町２－１６－１０"
"埼玉県","ラウンドワン上尾店","埼玉県上尾市平塚９１７－１"
"埼玉県","ラウンドワン栗橋店","埼玉県久喜市小右衛門１９２－１"
"埼玉県","ラウンドワン入間店","埼玉県入間市小谷田３－７－２５"
"埼玉県","ラウンドワン草加店","埼玉県草加市谷塚上町２０４番１"
"埼玉県","ラウンドワンさいたま上里店","埼玉県児玉郡上里町金久保周川３９４－１"
"埼玉県","ラウンドワンららぽーと新三郷店","埼玉県三郷市新三郷ららシティ３－１－１ららぽーと新三郷２Ｆ"
"埼玉県","ラウンドワン鴻巣店","埼玉県鴻巣市箕田３１６３－７"
"埼玉県","ゲームファクトリーマグマ草加店","埼玉県草加市氷川町2125-1"
"埼玉県","インターワールド幸手","埼玉県幸手市上高野２１４２‐１"
"埼玉県","埼玉レジャーランド春日部店","埼玉県春日部市大字増富字谷際163-1"
"埼玉県","タイトーＦステーションクレアモール川越店","埼玉県川越市新富町２−１−１３　本川越SSビル1-4F"
"埼玉県","アミューズランドモナコ川越店","埼玉県川越市新富町2-4-1"
"埼玉県","ゲームシティ川口店","埼玉県川口市栄町1-10-5"
"埼玉県","アピナ上尾店","埼玉県上尾市緑丘３−３−１１−２　ＰＡＰＡ上尾ショッピングアヴェニュープリンセス棟別棟"
"埼玉県","アピナ大宮店","埼玉県さいたま市大宮区仲町１−１９　大東ビル1階・地下1階"
"埼玉県","ビデオゲームミュージアムロボット深谷店","埼玉県深谷市上柴町西４−１２−１"
"埼玉県","シルクハット　川口","埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ"
"埼玉県","ギガステーション戸田店","埼玉県戸田市大字美女木北1-1-12"
"埼玉県","ｎａｍｃｏ熊谷店","埼玉県熊谷市銀座2-97CARPA1階"
"埼玉県","ベネクス川越店","埼玉県川越市大仙波340-1"
"埼玉県","タイトーステーション 所沢店","埼玉県所沢市日吉町３−７"
"埼玉県","タイトーステーション 大宮店","埼玉県さいたま市大宮区大門町１−１"
"埼玉県","ソユーゲームフィールド菖蒲店","埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ"
"埼玉県","アミューズメント　ＦＵＮＦＵＮ越谷店","埼玉県越谷市南荻島２７７０−１"
"埼玉県","ウェアハウス上尾店","埼玉県上尾市二ツ宮１０４４"
"埼玉県","ウェアハウス岩槻店","埼玉県さいたま市岩槻区加倉３−３−６３"
"埼玉県","ウェアハウス草加店別館","埼玉県草加市稲荷２−３６−３３"
"埼玉県","ウェアハウス三橋店","埼玉県さいたま市西区三橋６−９５５−１"
"埼玉県","キャロム坂戸店","埼玉県坂戸市関間2-151-1"
"埼玉県","キャロム所沢店","埼玉県所沢市下安松969-1"
"埼玉県","ユーズランド越谷店","埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F"
"埼玉県","ユーズランド春日部店","埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ"
"埼玉県","アミューズメントフィールドバイヨン","埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ"
"埼玉県","タイトーＦステーションダイエー大宮店","埼玉県さいたま市大宮区桜木町２丁目３番地"
"千葉県","GiGO千葉","千葉県千葉市中央区富士見 2-4-1"
"千葉県","セガワールド成田","千葉県成田市東町 157-5"
"千葉県","GiGO旭","千葉県旭市二3150-1"
"千葉県","GiGO幕張","千葉県千葉市美浜区ひび野1-8 メッセ･アミューズ･モール1F"
"千葉県","セガアリーナ蘇我","千葉県千葉市中央区川崎町51-1 ハーバーシティ蘇我 フェスティバルウォーク アミューズメント棟1F"
"千葉県","GiGO稲毛オーツーパーク","千葉県千葉市稲毛区園生町380-1"
"千葉県","GiGO柏","千葉県柏市柏 1-1-11 丸井デパート内B1F"
"千葉県","GiGO八柱","千葉県松戸市日暮1-1-1 八柱駅第2ビル2F"
"千葉県","アミューズメントエース市川","千葉県市川市市川1-9-11 サン市川ハイツ1F"
"千葉県","ラウンドワン市原店","千葉県市原市八幡北町３－５－１"
"千葉県","ラウンドワン習志野店","千葉県習志野市芝園１－４－５"
"千葉県","ラウンドワン市川鬼高店","千葉県市川市鬼高４－１－３"
"千葉県","ラウンドワンアリオ柏店","千葉県柏市大島田１－６－１セブンパークアリオ柏１０７０"
"千葉県","キャッツアイ八千代店","千葉県八千代市緑が丘西2丁目13番地3　ｉｓｍ緑ヶ丘内"
"千葉県","千葉レジャーランド成東店","千葉県山武市姫島111-1"
"千葉県","千葉レジャーランド野田店","千葉県野田市吉春776-1"
"千葉県","スポーツウェーブ鉄腕24浜野店","千葉県千葉市中央区浜野町1025-59"
"千葉県","千葉レジャーランド稲毛店","千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F"
"千葉県","タイトーＦステーション市川妙典店","千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F"
"千葉県","アミューズメントエース津田沼","千葉県船橋市前原西２−１５−１ファミービル1F～3F"
"千葉県","ラッキー中央店","千葉県千葉市中央区富士見2-8-1"
"千葉県","ラッキーバッティングドーム八千代店","千葉県八千代市大和田新田1088"
"千葉県","ラッキー佐倉店","千葉県佐倉市井野1475"
"千葉県","佐原ミナミボウル","千葉県香取市佐原イ-4200"
"千葉県","シルクハット　津田沼","千葉県習志野市津田沼１−２−１十三ビル地下１階"
"千葉県","スタジオプリモ本八幡店","千葉県市川市八幡2-15-10　パティオ本八幡5F"
"千葉県","ｎａｍｃｏ松戸店","千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ"
"千葉県","タイトーステーション 柏店","千葉県柏市柏２−３−１フーサワビル"
"千葉県","タイトーステーション 船橋店","千葉県船橋市本町１−６−１"
"千葉県","ソユーゲームフィールド木更津店","千葉県木更津市築地１−４イオンモール木更津２F"
"千葉県","ゲームフィールド千城台店","千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ"
"千葉県","ウェアハウス南流山店","千葉県流山市南流山４−１６−６"
"千葉県","イスカンダル木更津店","千葉県木更津市潮見４−１−２"
"千葉県","ワンダーヴュー成田店","千葉県成田市飯仲11-18"
"千葉県","チャリオット五井店","千葉県市原市五井中央西２−１−２"
"千葉県","チャリオット辰巳店","千葉県市原市市原500-1"
"千葉県","スポーツウェーブ鉄腕24稲毛長沼店","千葉県千葉市稲毛区長沼町697番地"
"千葉県","ゲームプラザセントラル浦安店","千葉県浦安市北栄1-16-15"
"東京都","ハイテクランドセガ渋谷","東京都渋谷区渋谷1-14-14 EST 1F"
"東京都","GiGO秋葉原1号館","東京都千代田区外神田 1-10-9"
"東京都","GiGO神楽坂","東京都新宿区神楽坂2-11 第2カグラヒルズ1F"
"東京都","GiGO秋葉原3号館","東京都千代田区外神田1-11-11 外神田１丁目ビルディング"
"東京都","GiGO立川","東京都立川市柴崎町3-2-1 サザンビル1F"
"東京都","GiGO府中","東京都府中市西原町1-6-2 フレスポ府中2F"
"東京都","GiGO福生","東京都福生市大字福生1076-1"
"東京都","GiGO船堀","東京都江戸川区船堀1-6-11"
"東京都","ハイテクランドセガ立石","東京都葛飾区立石7-2-1"
"東京都","GiGO西葛西","東京都江戸川区西葛西5-1-14 第一保志ビル"
"東京都","GiGO竹の塚","東京都足立区竹の塚6丁目8番6号　ピーくんPlaza-B"
"東京都","GiGO赤羽","東京都北区赤羽1-7-9 赤羽第一葉山ビルB1"
"東京都","新宿スポーツランド本館","東京都新宿区新宿3-22-12 サンパーク本館1F"
"東京都","GiGO新宿西口","東京都新宿区西新宿1-12-5"
"東京都","GiGO高田馬場","東京都新宿区高田馬場4-7-5"
"東京都","GiGO大森","東京都大田区山王2-1-5 大森駅ララビル2Ｆ"
"東京都","GiGO自由が丘","東京都目黒区自由ヶ丘2-10-9"
"東京都","GiGO池上","東京都大田区池上6-2-3 松山ビル2Ｆ"
"東京都","GiGO町田","東京都町田市原町田6-13-17　アーバンミサワビルB1F"
"東京都","GiGO赤羽駅前","東京都北区赤羽1-2-4"
"東京都","ラウンドワン南砂店","東京都江東区南砂６－７－１５トピレックプラザ４Ｆ"
"東京都","ラウンドワン町田店","東京都町田市森野１－１３－１４"
"東京都","ラウンドワン板橋店","東京都板橋区相生町１６"
"東京都","ラウンドワン武蔵村山店","東京都武蔵村山市伊奈平３－１－１"
"東京都","ラウンドワン府中本町駅前店","東京都府中市本町１－１３－３カネタビル"
"東京都","ﾗｳﾝﾄﾞﾜﾝﾀﾞｲﾊﾞｰｼﾃｨ東京ﾌﾟﾗｻﾞ店","東京都江東区青海１－１－１０ダイバーシティ東京プラザ６Ｆ"
"東京都","ラウンドワン池袋店","東京都豊島区東池袋１－１４－１"
"東京都","ラウンドワン吉祥寺店","東京都武蔵野市吉祥寺本町1-11-22"
"東京都","キューブ高円寺店","東京都杉並区高円寺南4-26-12　福丸ビルB1F"
"東京都","ミラクルイン中村橋","東京都練馬区貫井１−１−２ＹＫビル２Ｆ"
"東京都","東京レジャーランド秋葉原2号店","東京都千代田区外神田4-3-3ミナミビル6F・7F"
"東京都","東京レジャーランド亀有店","東京都葛飾区亀有3-21-2"
"東京都","東京レジャーランド吉祥寺店","東京都武蔵野市吉祥寺本町1-3-7　YSビル地下１階〜4階"
"東京都","アミューズランドモナコ調布駅前店","東京都調布市布田４−２−２２"
"東京都","アピナ荻窪店","東京都杉並区上荻１−１３−１０ハクサンビル"
"東京都","アドアーズ町田","東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ"
"東京都","アドアーズ仙川","東京都調布市仙川町２−２１−１２　ＶＩＣビル７"
"東京都","アドアーズ新小岩","東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル"
"東京都","アドアーズ上野アメ横","東京都台東区上野４−９−１４Gビル上野01　Ｂ１〜4階"
"東京都","タイトーＦステーションオリナス錦糸町店","東京都墨田区太平4-1-2オリナスモール地下1F"
"東京都","ゲームパニック新宿歌舞伎町","東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階"
"東京都","ゲームパニック秋葉原","東京都千代田区外神田1-13-1　Akihabara ex"
"東京都","ゲームサファリ大山","東京都板橋区大山東町60-10第3古峯ビル2階"
"東京都","ゲームサファリ池袋","東京都豊島区東池袋1-42-3 安田ビル2F"
"東京都","シルクハット　蒲田西口","東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階"
"東京都","シルクハット　大森","東京都大田区山王２−4−１　大森駅前ビル2階"
"東京都","シルクハット　八王子","東京都八王子市旭町２−５　八王子ツインタワービル３階"
"東京都","フォルム武蔵境","東京都武蔵野市境南町２−７−２０ダイヤパレス第２　１階"
"東京都","ｎａｍｃｏ巣鴨店","東京都豊島区巣鴨１−１５−１宮田ビルB2F"
"東京都","ｎａｍｃｏ中野店","東京都中野区中野５−５２−１５中野ブロードウェイ別館"
"東京都","ｎａｍｃｏ王子サンスクエア店","東京都北区王子１−４−１サンスクエア２階"
"東京都","ドラマ八王子高倉店","東京都八王子市高倉町55-4"
"東京都","ドラマ瑞穂店","東京都西多摩郡瑞穂町武蔵382-1"
"東京都","タイトーステーション新宿南口ゲームワールド店","東京都新宿区新宿３−３５−８"
"東京都","タイトーステーション 渋谷店","東京都渋谷区渋谷１−２４−１２渋谷東映プラザ"
"東京都","タイトーステーションＢＩＧＢＯＸ高田馬場店","東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ"
"東京都","タイトーステーション新宿東口店","東京都新宿区新宿３−２２−７　指田ビル"
"東京都","タイトーステーション国分寺店","東京都国分寺市本町３−５−１１"
"東京都","Ｈｅｙ","東京都千代田区外神田１−１０−５広瀬本社ビル2F"
"東京都","タイトーステーション 町田店","東京都町田市原町田６−２１−２３　松山ビル１階"
"東京都","タイトーステーション 秋葉原店","東京都千代田区外神田４−２−２貴三ビル"
"東京都","タイトーステーション 錦糸町楽天地店","東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ"
"東京都","タイトーステーション 池袋西口店","東京都豊島区西池袋１−１５−９第一西池ビル"
"東京都","タイトーステーション立川北口店","東京都立川市曙町２−４−５　OSJ　TACHIKAWA"
"東京都","タイトーステーション上野御徒町店","東京都台東区上野４−６−９湯島商事ビル"
"東京都","タイトーステーションＢＩＧＦＵＮ平和島店","東京都大田区平和島１丁目１−１ＢＩＧＦＵＮ平和島3F"
"東京都","THE 3RD PLANET 多摩センター店","東京都多摩市落合１−４１−１マグレブウェスト１階・２階"
"東京都","タイトーＦステーション吉祥寺ＪＯＹ店","東京都武蔵野市吉祥寺本町１丁目８‐２３　河田ビル"
"東京都","ウェアハウス保木間店","東京都足立区保木間１−１−１９"
"東京都","ウェアハウス入谷店（別館）","東京都足立区入谷7-8-14"
"東京都","ウェアハウス一橋学園店","東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ"
"東京都","キャロム青梅店","東京都青梅市千ケ瀬町4-326-1"
"東京都","ハイテクランドキューデン","東京都足立区西新井栄町2-7-2　2階"
"東京都","ユーズランド日の出店","東京都西多摩郡日の出町平井三吉野桜木237-3イオンモール日の出３Ｆ"
"東京都","ドットコム葛西","東京都江戸川区中葛西３−３５−５"
"東京都","アミューズメントスペースASO：VIBA！","東京都渋谷区恵比寿1-10-5三恵エビスビル2F"
"東京都","ゲームプラザセントラル八王子店","東京都八王子市東町12-15第5セントラル"
"東京都","CLUB　EXA","東京都立川市羽衣町2-7-3　小川ビル1F"
"神奈川県","GiGO海老名","神奈川県海老名市中央1-4-31 海老名プラザビル1F"
"神奈川県","GiGO本厚木","神奈川県厚木市中町4-15-9"
"神奈川県","GiGO相模大野","神奈川県相模原市南区相模大野3-13-2　東和ビル2F"
"神奈川県","GiGO綱島","神奈川県横浜市港北区綱島西2-6-29 城田ビル3F"
"神奈川県","クラブセガ新杉田","神奈川県横浜市磯子区杉田1-1-1 らびすた新杉田2F"
"神奈川県","セガセンター南","神奈川県横浜市都筑区茅ケ崎中央3-25 "
"神奈川県","ムトス相模原","神奈川県相模原市中央区中央2-1-5 ムトス内"
"神奈川県","ラウンドワン高津店","神奈川県川崎市高津区二子４－８－１"
"神奈川県","ラウンドワン横浜綱島店","神奈川県横浜市港北区樽町2-6-40"
"神奈川県","ラウンドワン横浜西口店","神奈川県横浜市西区南幸２－８－１６"
"神奈川県","ラウンドワン川崎大師店","神奈川県川崎市川崎区殿町１－５－１"
"神奈川県","ラウンドワンららぽーと湘南平塚店","神奈川県平塚市天沼１０－１ららぽーと湘南平塚店３Ｆ"
"神奈川県","イミグランデ大和店","神奈川県大和市鶴間2-12-27"
"神奈川県","イミグランデ日吉店","神奈川県横浜市港北区日吉２−２−４"
"神奈川県","イミグランデ溝の口店","神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル1-4F"
"神奈川県","神奈川レジャーランド厚木店","神奈川県厚木市戸室5-31-1　アツギトレリス2F"
"神奈川県","アピナ橋本店","神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階"
"神奈川県","シルクハット本厚木","神奈川県厚木市中町３−４−２２第二会田ビル２階"
"神奈川県","シルクハット川崎モアーズ","神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階"
"神奈川県","シルクハット　伊勢佐木町","神奈川県横浜市中区伊勢佐木町３—９６日活会館３階"
"神奈川県","シルクハット　横須賀中央","神奈川県横須賀市若松町１−５　横須賀プライム２階"
"神奈川県","シルクハット　川崎ダイス","神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階"
"神奈川県","シルクハット　大船","神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ"
"神奈川県","ゲームインファンファン藤沢店","神奈川県藤沢市鵠沼石上１−３−８"
"神奈川県","ドラマ藤沢店","神奈川県藤沢市本藤沢5-6-8"
"神奈川県","ドラマ港北インター店","神奈川県横浜市都筑区東方町321-6"
"神奈川県","ベネクス平塚店","神奈川県平塚市四宮６−１０−２７"
"神奈川県","ベネクス大和店","神奈川県大和市下鶴間2752-2"
"神奈川県","ベネクス川崎店","神奈川県川崎市川崎区鋼管通り４−８−３"
"神奈川県","タイトーステーション溝の口","神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階"
"神奈川県","タイトーステーション 戸塚西口店","神奈川県横浜市戸塚区戸塚町４０２３"
"神奈川県","タイトーステーション 小田原店","神奈川県小田原市栄町１−３−１２"
