name,address,loc_id,latitude&longitude,pcb_count
"GiGO BOWLイオンモール苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧2F","tKjDckUbqUKtpf7znHkQ3A","42.655742 141.64089",5
"タイトーステーション千歳","北海道 千歳市 北栄 2-12-5","aV_F6ZW9Z0vAShh_EQVTBA","42.833339 141.645548",5
"キャッツアイ恵庭","北海道 恵庭市 住吉町 2-9-1","FA3p5k7wZGjc5QDJ64GzGA","42.875885 141.583461",5
"MEGAGET釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919",5
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","45.400738 141.68089",3
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","40.601457 141.417784",18
"GiGO 八戸","青森県 八戸市 城下 4-25-14","LsjVp1XmDlMMuCVWwwiJqg","40.519908 141.4983",13
"ラウンドワン青森","青森県 青森市 浜田 3-1-1","L89y1qRIN153St-aNZj91w","40.799322 140.748564",9
"ソユースペースファンタジーインフィニ","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","3nUxecHCAT-i7SPYI6gJ9g","40.607213 140.49568",5
"GiGO 弘前","青森県 弘前市 末広 1-3-3","RsTCh9SA27jtPqZPPn9l6g","40.604073 140.499919",5
"ファンタジードーム八戸","青森県 八戸市 江陽 2-14-1　ラピア別棟","sVAO7nDuDoMC-BRESBAxww","40.521872 141.502709",5
"PALO五所川原","青森県 五所川原市 唐笠柳字藤巻 641-1　アクロスプラザ五所川原内","iGiTD_GnCPPKQN5JlLGvEA","40.800759 140.46146",5
"ラウンドワンスタジアム盛岡","岩手県 盛岡市 盛岡駅西通 2-10-35","lhPjYxW30376WQgOUSimRQ","39.700378 141.133194",9
"テクノワールド","岩手県 奥州市 江刺区愛宕字梁川 127-1","HjfPQCA9wNzHZnf73gzVTQ","39.179242 141.162168",9
"GiGO 水沢","岩手県 奥州市 水沢区佐倉河字鐙田 4-1","PuQ-PUHcChffynbuiZFi7g","39.152657 141.149372",7
"タイトーステーション盛岡マッハランド","岩手県 盛岡市 上堂 1-2-38","lK-ckkYYe3p0BG0rjoWIKw","39.723165 141.126452",5
"北上ヤングボウル","岩手県 北上市 柳原町 2-3-3","hVMIB0y27gt8jgfe7_T3Eg","39.293336 141.109356",5
"GiGO 一関","岩手県 一関市 山目字中野 92-1","UePFyRJCpWNBvKY75VhU7Q","38.933734 141.118342",5
"ゲームコーナー東部","宮城県 仙台市若林区 六丁の目中町 26-60　斎喜東部ビル","37uxHObyaKaWrP4st9eivg","38.250969 140.943894",19
"ラウンドワンスタジアム仙台泉","宮城県 仙台市泉区 大沢 2-12-4　仙台泉インターシティ1・2F","kBbi5fNOJWustml2IJt1lw","38.352027 140.879508",15
"namcoBiVi仙台駅東口","宮城県 仙台市宮城野区 榴岡 2-1-25　BiVi仙台駅東口内","FhJoeWB0Le_S43yZuEddBw","38.261065 140.883672",14
"GAME BANK 泉","宮城県 仙台市泉区 大沢 2-5-4","PxXWTR6SVhQUo1Cujad0lw","38.352736 140.877348",14
"GiGO 仙台","宮城県 仙台市青葉区 中央 2-5-5","08rsOjm3vjm8e677jwwdXg","38.261621 140.876736",13
"ソユーゲームフィールド古川","宮城県 大崎市 古川沢田 字筒場浦15　イオンタウン古川内","XUsqBCYKjhdYSh0uJX49LQ","38.599023 140.974156",10
"ラウンドワン仙台苦竹","宮城県 仙台市宮城野区 苦竹 1-7-10","PRRyoyf1GVSclhb6DNed7A","38.268083 140.917245",9
"GiGO 名取","宮城県 名取市 飯野坂字土城堀 57-1","3kKfDLlZgvHCqVD5MftddQ","38.156558 140.888377",9
"GiGO 仙台利府","宮城県 宮城郡利府町 加瀬字新前谷地 55-1　利府ペアガーデン内","x8gZNPqPXE8NX_7tCukm_Q","38.328029 140.975611",9
"タイトーステーション仙台ベガロポリス","宮城県 仙台市太白区 西多賀 5-24-1　ベガロポリス内","J7nZ7JnGWXOxvZ_PDQYDAQ","38.219688 140.847988",5
"GiGO イオン仙台中山","宮城県 仙台市泉区 南中山 1-35-57　イオン仙台中山SC　イオン仙台中山店別館3F","rI7ymjTOFiPfPZtjZO_c9Q","38.297896 140.827083",5
"GiGO 仙台一番町","宮城県 仙台市青葉区 一番町 4-5-13　サンシャインビル1F","rmYNsVg3O8LwrlVd4gPumQ","38.264135 140.871162",5
"タイトーステーション仙台名掛丁","宮城県 仙台市青葉区 中央 1-7-13","_3y6xX8FjWi2uiCPrpc4UQ","38.262066 140.879083",5
"プラサカプコン石巻","宮城県 石巻市 茜平 4-104　イオンモール石巻2F","ezX2oakgeQdZJIM0bpC5Gg","38.447539 141.264872",5
"アピナ富谷","宮城県 富谷市 大清水 1-33-1　イオンモール富谷別棟109シネマズ富谷1F","l6m17YF5aqClJ3uEdIQyjg","38.364878 140.875232",5
"ユーズランド大河原","宮城県 柴田郡大河原町 小島 2-1　フォルテくらし館2F","tsiNU4QZ2WKuZci4VqlNYg","38.065614 140.737389",5
"GiGO 石巻","宮城県 石巻市 大街道東 4-1-45","uDeX5CptmdigD5XBXEBUNw","38.429408 141.285368",3
"プラサカプコン大曲","秋田県 大仙市 和合字坪立 177　イオンモール大曲2F","yPk_gRySBqHY42yREc9D7w","39.438944 140.508099",9
"ラウンドワンスタジアム秋田","秋田県 秋田市 卸町 1-1-2","2YMiIO9zXSd_L8cojSRt1Q","39.702044 140.109292",5
"GiGO 秋田","秋田県 秋田市 茨島 1-1-16","1Bg55ON0US1P9e5Dzo9vkg","39.704157 140.104598",5
"namcoイオンタウン大館西","秋田県 大館市 根下戸新町 18-121　イオンタウン大館西内","P8LLLeafeRhshAgg_izneQ","40.273745 140.530038",5
"GiGO 天童","山形県 天童市 南町 1-5-26","eLRczaz4eFICkYJN_-X0MA","38.343025 140.373995",11
"GiGO 北山形","山形県 山形市 北町 1-3-20","H-7ZqsDg_8VUVJzRvDWAbA","38.268249 140.331351",7
"パルケデアミーゴ！","山形県 山形市 嶋北 1-3-1","p7nCw8BY8jmv04odkqKw1A","38.283666 140.3216",5
"GiGO 米沢","山形県 米沢市 花沢字タナコ原 177","IL1IMzpKIx4xHMC2DCOMvQ","37.910931 140.133671",5
"アピナ鶴岡","山形県 鶴岡市 文下字広野 1-1","_Sc28ALbYjyCOS_Es0rhAQ","38.758139 139.844383",5
"GiGO 庄内","山形県 東田川郡三川町 猪子字大堰端 326-6","VBO_20EJNJnke1Ynh6hHyw","38.819638 139.834864",5
"タイトーFステーション郡山オリエントパーク","福島県 郡山市 郡山市安積町荒井字大久保 35-1","Y5fsE_KVXSsqmS737uyxJQ","37.374476 140.348755",18
"GiGO 福島南","福島県 福島市 黒岩字中島 7-2","6i3ehAnuCJUABPy5MR3CYg","37.727675 140.466916",11
"GiGO 会津若松","福島県 会津若松市 町北町上荒久田字宮下 142","4lo469GtpMgNw8-Q2Odn4w","37.518425 139.922048",9
"GiGO 勿来","福島県 いわき市 勿来町四沢 字鍵田13","F9_qUdYhDZ2Acd7ZGKEXFg","36.889072 140.784563",9
"namcoイオンタウン郡山","福島県 郡山市 松木町 2-88　イオンタウン郡山内","kssq9R-4FkV8sN1mDoESog","37.389365 140.390478",8
"ラウンドワンスタジアム郡山","福島県 郡山市 向河原町 4-55","c4Y1MwtcbRSVg2d7YBcv0w","37.402322 140.395636",7
"GiGO 日和田","福島県 郡山市 日和田町字西中島 7-1","b5VJW7FjVufUMegXbku1cw","37.448201 140.380413",7
"ゲームスペースA-3","福島県 西白河郡西郷村 豊作西 15-16-17","tLJt-tavBjx8KLsvVDItjw","37.124556 140.182612",7
"ラウンドワンスタジアム福島","福島県 福島市 太田町 14-18","LDywsn277_5pZQOrdMB2Mw","37.75261 140.455994",5
"GiGO 福島","福島県 福島市 本内中井 1-2","tkQH_JmxyWRaeE2kSiKTng","37.785235 140.487515",5
"サープラ福島あそびタウン","福島県 福島市 栄町 1-1　パワーシティピボット内","29nN1QIqh5jRUfLUgkd-9A","37.754273 140.460186",5
"アミューズパーク郡山","福島県 郡山市 安積町日出山 2-80","EcmdX8G2X2byUZ1pDejU3w","37.374413 140.383902",5
"嶺宝スポーツセンター","福島県 いわき市 小名浜住吉字折返 2-2","5pBipzAfXEIsyOD1QlAhQQ","36.974241 140.890558",5
"ソユーエンターテイメントスタジオ須賀川","福島県 須賀川市 古河 105　イオンタウン須賀川B棟内","fziAI9CM4cCpovH-4bsHvw","37.297382 140.385159",5
"ゲームパニックつくば","茨城県 土浦市 中村東 1-1-1　サンタスワールド内","XFQ_G4-d_K3a0Db8O1iZjg","36.046383 140.168223",19
"ユーズランド水戸内原","茨城県 水戸市 内原 2-1　イオンモール水戸内原2F","_g5tCiEcek4HvS-ihNY16Q","36.374174 140.358185",18
"GAME PADDOCK +1 古河本店","茨城県 古河市 小堤 1916-1","62bBOi7u402l3nF-bOVfCA","36.206738 139.75787",13
"ピンクパンサー水戸赤塚","茨城県 水戸市 河和田 1-1　フレスポ赤塚内","yMBpwqcfAVjAJaAR3l4hsw","36.380442 140.413753",10
"ゲームメガ水戸けやき台","茨城県 水戸市 酒門町 3276-1","9XdXvZUDOxayyrQE9XdDsQ","36.338176 140.483361",10
"ピンクパンサー土浦","茨城県 土浦市 木田余 4585-3","JaUX-5pTmloYJdl7Yd6cAA","36.106546 140.215198",10
"ゲームメガつくば","茨城県 つくば市 小野崎 177-2","WcB6IFKDfNQ9yjrw-yDmmg","36.076851 140.104738",10
"GiGO 水戸南","茨城県 水戸市 千波町 2017-1","rXgpDY6mBvjKVRnKMNDeJg","36.350325 140.443",9
"GiGO 水戸","茨城県 水戸市 宮町 1-7-44　コムボックス310　3F","wbKyBbhZD59HxXxkYtv_Qg","36.369475 140.474592",9
"GiGO 神栖","茨城県 神栖市 神栖 1-8-1","x7UM6O4U846Ela90n712GA","35.897995 140.644409",9
"ゲームメガ日立","茨城県 日立市 東多賀町 5-10-10","K1ayfp5EoDzSrYuog3IIAQ","36.548199 140.630536",8
"GiGO 龍ヶ崎","茨城県 龍ケ崎市 藤ケ丘 4-2-8","Lkc1Il7ZEcHYackoIXwwoQ","35.938539 140.195942",7
"アミューズビバ","茨城県 ひたちなか市 東大島 2-11-11","Cz3v_rXOoVSa-g4KlBeUqw","36.406406 140.531973",7
"アピナ下館","茨城県 筑西市 玉戸 1012-3","CeVSNJY_jWlK0ZkcyDx9ag","36.295473 139.945672",7
"ピンクパンサー下妻","茨城県 下妻市 小島 884-10","vGQL5lljBuhfQ2Hh0SzFhw","36.170265 139.966531",6
"GiGO 日立","茨城県 日立市 田尻町 3-26-1","1IjXB4Zb0TGvPxp3ANdScg","36.626431 140.669858",5
"GiGO 石岡","茨城県 石岡市 東大橋中峯 1976-1","fRUrzSGG9AfDGZHO4mjIOQ","36.198491 140.303403",5
"GiGO デイズタウンつくば","茨城県 つくば市 竹園 1-9-2　デイズタウンつくば店B1F","MnF0TU6vrloupk3B4aHxgw","36.077729 140.115332",5
"GiGO ひたちなか別館","茨城県 ひたちなか市 田中後 40-2","AD-vAiaaPjood6cwovX3zQ","36.347591 140.580341",5
"INTER PARK +1 宇都宮","栃木県 宇都宮市 インターパーク 6-5-1","UTPef_LlHWCAFOVSx28fIg","36.488066 139.905599",17
"ドラマ足利","栃木県 足利市 朝倉町 244-1","fn9ryXEPvQ9F4MBQXpOpbg","36.322317 139.4503",13
"namcoフェドラP＆D佐野","栃木県 佐野市 高萩町 1340　フェドラP＆D SANO","ss8fdK3dVVcVRcqXiY5gug","36.297316 139.605647",11
"GiGO 宇都宮","栃木県 宇都宮市 東宿郷 5-1-7","2t-StJ4o_M2WOXC6ZdHAaw","36.558171 139.908818",9
"GiGO 小山","栃木県 小山市 東城南 1-1-18","_kXIzwJDJeKkZDTFc-qk2w","36.298977 139.810164",9
"スタジオプリモ宇都宮","栃木県 宇都宮市 曲師町 2-8　宇都宮フェスタB1F","1WIrJYGKHgCrgm06F3R9iQ","36.560392 139.884618",7
"ラウンドワンスタジアム宇都宮","栃木県 宇都宮市 江曽島町 2072-1","MEoJUMhO2nzheEonB5tG9g","36.540686 139.886893",7
"シーサイドリゾートアミューズメントパーク","栃木県 宇都宮市 睦町 7-3","gfET2IVPg9C2UVG3MZopRg","36.563139 139.860275",7
"namco宇都宮","栃木県 宇都宮市 簗瀬町 1606-1　フェドラP＆D UTSUNOMIYA","_g-SvYkTDpr5BDyxNSVuLg","36.543863 139.891566",7
"サンライズスポーツ","栃木県 足利市 鹿島町 820","dGyu0DkCpf0XO4nRdxFF4A","36.350597 139.405134",5
"GiGO 日光","栃木県 日光市 芹沼 1448-1","i6KvwNZ9lac-gO0ACR8UDw","36.741095 139.71014",5
"タイトーFステーション小山","栃木県 小山市 喜沢 1475　おやまゆうえんハーヴェストウォークSC棟","TWYl5BaiDMrpcdAX5fCnqw","36.332427 139.808377",5
"GAME GET－Bee","栃木県 小山市 城山町 3-3-22","1OPXCbGqxL9QVEM8c2fFpA","36.312695 139.806608",5
"アピナ小山","栃木県 小山市 駅南町 4-27-18","FWitkfTpwGL8B5ugE2Gfkg","36.300073 139.809051",5
"大田原スポーツランド","栃木県 那須塩原市 一区町 104-60","yCMkVwXEq6Ps9uiP3MnJlA","36.851887 139.993297",5
"GiGO 西那須野","栃木県 那須塩原市 南郷屋 2-106-27","mPF57C_b4lZmMcWcOIv0KA","36.895119 139.982238",5
"群馬レジャーランド太田","群馬県 太田市 西矢島町 162-2","KUvPBUY7vbZHDNq5haQlTQ","36.268056 139.375949",18
"群馬レジャーランド高崎駅東口","群馬県 高崎市 江木町 333-1　高崎EXビルB1・2F","ia42VZ7HlUikAtkExT3ysg","36.329881 139.012917",12
"マトリクス前橋","群馬県 前橋市 小相木町 558-1","UoLg0OK5RhPqVhFYJdC2tg","36.37274 139.059073",11
"インターワールド伊勢崎","群馬県 伊勢崎市 宮子町 3425-4","003QXzgM3C5ak69pcb4vzg","36.331521 139.162503",11
"ユーズランド高崎","群馬県 高崎市 棟高町 1400　イオンモール高崎2F","NhSyeJhLsnR1dZ5-Tuk7kA","36.390421 139.006695",9
"群馬レジャーランド伊勢崎","群馬県 伊勢崎市 連取町 3066-1","CKGHWsk5yZdwkIBFD-bnzw","36.318298 139.172337",9
"ユーズランド太田","群馬県 太田市 石原町 81　イオンモール太田2F","zPaaLkEoA0kLoJ0yC8oNAg","36.294046 139.400443",9
"群馬レジャーランド渋川","群馬県 渋川市 八木原 1364","sJrFI2wwg9TzeRk5UF9j8A","36.474272 139.015353",9
"群馬レジャーランド藤岡","群馬県 藤岡市 中 2002-1","0vb1o0ASWfpswitcQmhDZg","36.274353 139.072087",9
"群馬レジャーランド前橋","群馬県 前橋市 日吉町 4-37-1","57Tb7LLg4MNeqOlpOFyYjw","36.404983 139.079423",7
"GiGO 館林","群馬県 館林市 小桑原町 949-1","-5kocSRl5OXnzTnK-3pUxw","36.235221 139.520329",7
"ラウンドワンスタジアム前橋","群馬県 前橋市 天川大島町 1101-1","sKgkm07ZPwkoEF0po-_Sgg","36.368732 139.105228",5
"アピナ太田","群馬県 太田市 内ケ島町 907-1","7-QNLLbClqAm9Y6jjNHSLQ","36.282971 139.398425",5
"GiGO 太田","群馬県 太田市 西矢島町 575","oBLhWV0P3L4IltB5Id6Tbw","36.274554 139.378084",5
"GiGO スマーク伊勢崎","群馬県 伊勢崎市 西小保方町 368　スマーク伊勢崎内","IOLmVLjOxD9LBBeoA5dnrg","36.339174 139.233043",3
"タイトーステーション大宮","埼玉県 さいたま市大宮区 大門町 1-1","2Pq2E34sh4n2TEEzPzLKGg","35.907447 139.625597",25
"ウェアハウス草加店別館","埼玉県 草加市 稲荷 2-36-33","fXtoYr6GMUZO61wFQ9srOA","35.830316 139.820954",18
"埼玉レジャーランド春日部","埼玉県 春日部市 増富字谷際 163-1","KWZJt1J_uhnIP23BIcWVtw","35.959502 139.728928",16
"namcoイオンレイクタウンmori北","埼玉県 越谷市 レイクタウン 3-1-1　イオンレイクタウンmori3F","rqOZp4264oqE1sdCwvPIyw","35.883752 139.828327",15
"ラウンドワンさいたま・鴻巣","埼玉県 鴻巣市 箕田 3163-7","mBez2nhlfF0prqEezMaDmQ","36.080639 139.490226",14
"ユーズランド越谷","埼玉県 越谷市 レイクタウン 4-2-2　イオンレイクタウンkaze3F","1HN8mkYYVSNYRJR2CRNygQ","35.878115 139.824865",14
"ウェアハウス三橋","埼玉県 さいたま市西区 三橋 6-955-1","lO2mhxIBCbIyCIbekHLzrg","35.915359 139.596062",13
"アミューズランドモナコ川越","埼玉県 川越市 新富町 2-4-1","RxPkqsWGYKNtmAsXsenl9A","35.913294 139.483138",13
"シルクハット川口","埼玉県 川口市 栄町 3-1-16　イート川口ビル4F","gYkGeizJ5wmDWrn8vD16zw","35.80297 139.717534",13
"ラウンドワンスタジアム所沢","埼玉県 所沢市 東町 5-22　TOCOTOCOSQUARE所沢6F･7F","r9oP2-dsdeciHGA2l8T1BA","35.788861 139.469562",13
"ゲームパニック三郷","埼玉県 三郷市 ピアラシティ 1-1-200","l8DqX-urhuhDlN7aDsCkqQ","35.842186 139.854868",12
"GiGO 所沢","埼玉県 所沢市 日吉町 8-1","PF_YYJTnOs6U1wVExPcdbQ","35.788462 139.471907",11
"ゲームシティ川口","埼玉県 川口市 栄町 1-10-5","Zx4QEqYhLyTlWyCEwRMEJQ","35.802552 139.725612",10
"アミューズメントFUNFUN越谷","埼玉県 越谷市 南荻島 2770-1","LN85k4_yQkjy9CpsexPPSA","35.912855 139.771197",10
"埼玉レジャーランド大宮ラクーン","埼玉県 さいたま市大宮区 宮町 1-60　大宮ラクーン5F","2-ZDYt_Fcuu-UVW1DwQgPQ","35.907751 139.62568",9
"埼玉レジャーランド大宮駅東口","埼玉県 さいたま市大宮区 宮町 1-8　大宮セントラルビルB1F～2F","rl0by6iVuWpQnupqUHV8WA","35.907991 139.624549",9
"タイトーFステーションクレアモール川越","埼玉県 川越市 新富町 2-1-13　カシーラ本川越1～4F","8CEnPqb5aBkOw7SsKua_Qg","35.913826 139.482922",9
"ビデオゲームミュージアムロボット深谷","埼玉県 深谷市 上柴町西 4-12-1","AVzHYwB0ypjPaJSNDf26sQ","36.179653 139.298776",9
"ラウンドワンスタジアム上尾 ","埼玉県 上尾市 平塚 917-1","hp8q8vL2sMe2GhrESkMPFQ","35.985794 139.60781",9
"ゲームファクトリーマグマ草加","埼玉県 草加市 氷川町 2125-1","lYaYfFQKBCW3tncZw5P55w","35.828238 139.802514",9
"ラウンドワン草加","埼玉県 草加市 谷塚上町 204-1","eaM_1TQ-WujnnxS8mKogeg","35.812835 139.788129",9
"アドアーズ蕨","埼玉県 蕨市 塚越 1-4-4　ラ・セーヌビル2F","fqpMPhqIr_9Z_qM9ULYB6A","35.827709 139.691521",9
"ラウンドワンスタジアム入間","埼玉県 入間市 小谷田 3-7-25","7c8HVc6PnbNkaTqTO9flhw","35.827991 139.376003",9
"GiGO 入間","埼玉県 入間市 東藤沢 2-18","jZmeNAl7JJJ_qXpf0NWoOg","35.819203 139.418116",9
"ラウンドワンスタジアム朝霞","埼玉県 朝霞市 膝折町 2-16-10","zWM3ecBM1iWdSymIm-SnqA","35.790282 139.579647",9
"キャロム坂戸","埼玉県 坂戸市 関間 2-151-1","AuUr8TS-VBFMpaQnMkdOjQ","35.952607 139.398555",9
"インターワールド幸手","埼玉県 幸手市 上高野 2142-1","59PloKBDYcTHgjlk0UieuA","36.057002 139.714354",9
"ラウンドワンわらび","埼玉県 蕨市 北町 5-1-6","6GquKyQc5wsCIhjrHI8eVw","35.830783 139.674233",8
"GiGO 大宮西口","埼玉県 さいたま市大宮区 桜木町 2-3-2","yIw9KVvWSBAQcylJ2ykQPg","35.906912 139.622186",7
"GiGO 籠原","埼玉県 熊谷市 美土里町 1-169","6bXlRU4i3BbjcGXVlFQu8A","36.17095 139.318256",7
"namco熊谷","埼玉県 熊谷市 銀座 2-97　カルパビル1F","9fmJxA7NeGBEPVqVHdrtww","36.139183 139.394467",7
"キャロム所沢","埼玉県 所沢市 下安松 969-1","afT0uJiEZBi8fv800F56iA","35.791544 139.504148",7
"GiGO 南越谷ラクーン","埼玉県 越谷市 南越谷 1-15-1　南越谷ラクーン2F","NkyT8GTV3u5SbatEcuqvew","35.875021 139.793185",7
"ギガステーション戸田","埼玉県 戸田市 美女木 943-7","u6xo2VlJvEr9wZ9viOTvsw","35.834141 139.653203",7
"アドアーズ和光","埼玉県 和光市 本町 3-5　MillionAnnex和光1～3F","s0C5UTOADshw5ONhvDeiTA","35.788318 139.611573",7
"ラウンドワンスタジアムさいたま・栗橋","埼玉県 久喜市 小右衛門 192-1","pBZIEXP2qDjdHvI08BFSHg","36.123542 139.715173",7
"ラウンドワンスタジアムららぽーと新三郷","埼玉県 三郷市 新三郷ららシティ 3-1-1　ららぽーと新三郷2F　20000番","ExAuMnvLJyUJGTAbYKNk1w","35.858898 139.866786",7
"アミューズメントフィールドバイヨン","埼玉県 ふじみ野市 うれし野 2-16-1　LCモールうれし野2F","YLzQ4uqFZ5rjxthxkFrpyg","35.856138 139.522395",7
"ラウンドワン大宮","埼玉県 さいたま市大宮区 宮町 4-90-7","6nJT8mxp3yYvZkJ8AKgqRA","35.910828 139.62544",5
"ウェアハウス岩槻","埼玉県 さいたま市岩槻区 加倉 3-3-63","h4fcJ9ZI0k5FJ7qqywjs8Q","35.941124 139.686077",5
"アミューズメントクラブ浦和","埼玉県 さいたま市浦和区 仲町 1-10-7","nMBtCDhtP1SMCDZfjAEWbQ","35.86026 139.65354",5
"アピナ川越","埼玉県 川越市 泉町 1-1　ウニクス南古谷シネマ棟1F","H3g4aG5ERSpaAMu-7HBxHg","35.903719 139.515912",5
"タイトーステーション所沢","埼玉県 所沢市 日吉町 3-7　スカイビュウビル1・2F","eKU1nQFDDWveWVmu82dKRg","35.78809 139.472368",5
"ユーズランド春日部","埼玉県 春日部市 下柳 420-1　イオンモール春日部2F","KxV1pVJwrky-wWKC65cJJQ","35.988573 139.789812",5
"プラサカプコン羽生","埼玉県 羽生市 川崎 2-281-3　イオンモール羽生2F","omG6RFGdBp3jiLfJbtHcWw","36.142861 139.542746",5
"ウェアハウス上尾","埼玉県 上尾市 二ツ宮 1044","HUH9tjbL8VF7p3ZfRu1FaA","35.981297 139.599838",5
"アピナ上尾","埼玉県 上尾市 緑丘 3-3-11-2　P･A･P･A上尾ショッピングアベニュー　プリンセス棟別棟","InShZylqVGO2nVHW_Qi8dA","35.987188 139.579948",5
"ウェアハウス越谷","埼玉県 越谷市 南荻島 841-1","houOtrF5b5Ow2L6eRUMi-w","35.911983 139.763769",5
"タイトーステーション和光","埼玉県 和光市 丸山台 1-4-5","ZvfT1yuCQUSkEVAfjIfYBw","35.78663 139.613792",5
"サープラ八潮あそびタウン","埼玉県 八潮市 大瀬 1-1-3　フレスポ八潮3F","Ly30_yPFGuC7-0tl6sRq5A","35.808352 139.843842",5
"GiGO ビバモール埼玉大井","埼玉県 ふじみ野市 西鶴ケ岡 1-3-15　ビバモール埼玉大井2F","byWH__DcjbhtCnaWAzLR5g","35.863788 139.50222",5
"ラウンドワンさいたま・上里","埼玉県 児玉郡上里町 金久保 394-1　イオンタウン上里内","XjQucMYnocC3JQ5C6TzaRA","36.259817 139.137418",5
"ビッグボウル杉戸","埼玉県 北葛飾郡杉戸町 杉戸 2338","a6-pWBjkXLt1GzxXNYdFXA","36.040094 139.720881",5
"GiGO 川口","埼玉県 川口市 東領家 2-2-10","-31bPvZ4m8BIzvcR3hlhig","35.794851 139.747529",3
"アミューズメントエース津田沼","千葉県 船橋市 前原西 2-15-1　ファミービル1～3F","c_yGZhhKhl197dV9rsVw2A","35.692278 140.020182",36
"namco松戸","千葉県 松戸市 松戸 1230-1　ピアザ松戸1F","0cSpvzzy2Qk8q9gs-FY0Bw","35.78365 139.900868",28
"ラッキー中央店フェリシダ","千葉県 千葉市中央区 富士見 2-8-1","25NMlVHEFQ5JYjqA8w1OlA","35.610265 140.118299",20
